group,species,multiplicity,intensity_ratio,n_lines,J_Hz,fwhm_Hz,group_delta_ppm,line_index,line_ppm,line_Hz,line_rel_intensity,line_height,protons_per_molecule,concentration,moles,group_area_in_window,group_area_pct_of_window,group_area_pct_of_carbon_bound,window_lo_ppm,window_hi_ppm
EGDA O-CH2,ethylene glycol diacetate,singlet,1,1,0.0,1.5,4.335,0,4.335,347.53,1.0,1.0,4,0.25,0.25,0.029057,0.609,25.01,3.4,4.7
exchangeable pool (H2O/OH/COOH),"water, ethylene glycol monoacetate, ethylene glycol, acetic acid",broad singlet (fast exchange),1,1,0.0,30.0,4.3133,0,4.3133,345.79,1.0,10.0,,,,4.656659,97.566,4008.058,3.4,4.7
EGMA CH2-OC(O),ethylene glycol monoacetate,triplet,1:2:1,3,4.7,1.5,4.245,0,4.3036,345.01,0.25,0.25,2,0.5,0.5,0.029093,0.61,25.041,3.4,4.7
EGMA CH2-OC(O),ethylene glycol monoacetate,triplet,1:2:1,3,4.7,1.5,4.245,1,4.245,340.31,0.5,0.5,2,0.5,0.5,0.029093,0.61,25.041,3.4,4.7
EGMA CH2-OC(O),ethylene glycol monoacetate,triplet,1:2:1,3,4.7,1.5,4.245,2,4.1864,335.61,0.25,0.25,2,0.5,0.5,0.029093,0.61,25.041,3.4,4.7
EGMA CH2-OH,ethylene glycol monoacetate,triplet,1:2:1,3,4.7,1.5,3.78,0,3.8386,307.74,0.25,0.25,2,0.5,0.5,0.029062,0.609,25.014,3.4,4.7
EGMA CH2-OH,ethylene glycol monoacetate,triplet,1:2:1,3,4.7,1.5,3.78,1,3.78,303.04,0.5,0.5,2,0.5,0.5,0.029062,0.609,25.014,3.4,4.7
EGMA CH2-OH,ethylene glycol monoacetate,triplet,1:2:1,3,4.7,1.5,3.78,2,3.7214,298.34,0.25,0.25,2,0.5,0.5,0.029062,0.609,25.014,3.4,4.7
EG O-CH2,ethylene glycol,singlet,1,1,0.0,1.5,3.66,0,3.66,293.41,1.0,1.0,4,0.25,0.25,0.02897,0.607,24.935,3.4,4.7
