ppm,hz,total_with_exchange,total_carbon_bound,exchangeable pool (H2O/OH/COOH),EGDA CH3,EGMA CH3,AcOH CH3
1.90003,152.32,0.072790,0.013035,0.059756,0.002276,0.002590,0.008085
1.90023,152.34,0.072827,0.013061,0.059766,0.002280,0.002594,0.008103
1.90043,152.35,0.072863,0.013087,0.059776,0.002284,0.002599,0.008121
1.90063,152.37,0.072899,0.013114,0.059785,0.002288,0.002603,0.008139
1.90083,152.39,0.072936,0.013141,0.059795,0.002292,0.002608,0.008157
1.90103,152.40,0.072972,0.013167,0.059805,0.002295,0.002613,0.008175
1.90123,152.42,0.073009,0.013194,0.059815,0.002299,0.002617,0.008194
1.90143,152.43,0.073046,0.013221,0.059825,0.002303,0.002622,0.008212
1.90163,152.45,0.073083,0.013248,0.059835,0.002307,0.002627,0.008230
1.90183,152.47,0.073119,0.013275,0.059845,0.002311,0.002631,0.008249
1.90203,152.48,0.073156,0.013302,0.059854,0.002315,0.002636,0.008267
1.90223,152.50,0.073193,0.013329,0.059864,0.002319,0.002641,0.008286
1.90243,152.51,0.073231,0.013356,0.059874,0.002323,0.002646,0.008304
1.90263,152.53,0.073268,0.013384,0.059884,0.002326,0.002650,0.008323
1.90283,152.55,0.073305,0.013411,0.059894,0.002330,0.002655,0.008342
1.90303,152.56,0.073343,0.013439,0.059904,0.002334,0.002660,0.008361
1.90323,152.58,0.073380,0.013466,0.059914,0.002338,0.002665,0.008380
1.90343,152.59,0.073418,0.013494,0.059924,0.002342,0.002669,0.008398
1.90363,152.61,0.073455,0.013522,0.059933,0.002346,0.002674,0.008417
1.90383,152.63,0.073493,0.013550,0.059943,0.002350,0.002679,0.008437
1.90403,152.64,0.073531,0.013578,0.059953,0.002354,0.002684,0.008456
1.90423,152.66,0.073569,0.013606,0.059963,0.002358,0.002689,0.008475
1.90443,152.67,0.073607,0.013634,0.059973,0.002362,0.002694,0.008494
1.90463,152.69,0.073645,0.013662,0.059983,0.002366,0.002699,0.008513
1.90483,152.71,0.073683,0.013691,0.059993,0.002370,0.002703,0.008533
1.90503,152.72,0.073722,0.013719,0.060003,0.002374,0.002708,0.008552
1.90523,152.74,0.073760,0.013747,0.060013,0.002378,0.002713,0.008572
1.90543,152.75,0.073799,0.013776,0.060023,0.002382,0.002718,0.008591
1.90563,152.77,0.073837,0.013805,0.060033,0.002386,0.002723,0.008611
1.90583,152.79,0.073876,0.013834,0.060042,0.002390,0.002728,0.008631
1.90603,152.80,0.073915,0.013862,0.060052,0.002394,0.002733,0.008651
1.90623,152.82,0.073954,0.013891,0.060062,0.002399,0.002738,0.008670
1.90643,152.83,0.073993,0.013920,0.060072,0.002403,0.002743,0.008690
1.90663,152.85,0.074032,0.013950,0.060082,0.002407,0.002748,0.008710
1.90683,152.87,0.074071,0.013979,0.060092,0.002411,0.002753,0.008731
1.90703,152.88,0.074110,0.014008,0.060102,0.002415,0.002758,0.008751
1.90723,152.90,0.074150,0.014038,0.060112,0.002419,0.002763,0.008771
1.90743,152.91,0.074189,0.014067,0.060122,0.002423,0.002768,0.008791
1.90763,152.93,0.074229,0.014097,0.060132,0.002427,0.002773,0.008812
1.90783,152.95,0.074268,0.014127,0.060142,0.002432,0.002779,0.008832
1.90803,152.96,0.074308,0.014156,0.060152,0.002436,0.002784,0.008852
1.90823,152.98,0.074348,0.014186,0.060162,0.002440,0.002789,0.008873
1.90843,153.00,0.074388,0.014216,0.060172,0.002444,0.002794,0.008894
1.90863,153.01,0.074428,0.014246,0.060181,0.002448,0.002799,0.008914
1.90883,153.03,0.074468,0.014277,0.060191,0.002453,0.002804,0.008935
1.90903,153.04,0.074508,0.014307,0.060201,0.002457,0.002809,0.008956
1.90923,153.06,0.074549,0.014337,0.060211,0.002461,0.002815,0.008977
1.90943,153.08,0.074589,0.014368,0.060221,0.002465,0.002820,0.008998
1.90963,153.09,0.074630,0.014398,0.060231,0.002470,0.002825,0.009019
1.90983,153.11,0.074670,0.014429,0.060241,0.002474,0.002830,0.009040
1.91003,153.12,0.074711,0.014460,0.060251,0.002478,0.002836,0.009061
1.91023,153.14,0.074752,0.014491,0.060261,0.002483,0.002841,0.009083
1.91043,153.16,0.074793,0.014522,0.060271,0.002487,0.002846,0.009104
1.91063,153.17,0.074834,0.014553,0.060281,0.002491,0.002851,0.009125
1.91083,153.19,0.074875,0.014584,0.060291,0.002496,0.002857,0.009147
1.91103,153.20,0.074916,0.014615,0.060301,0.002500,0.002862,0.009169
1.91123,153.22,0.074958,0.014647,0.060311,0.002504,0.002867,0.009190
1.91143,153.24,0.074999,0.014678,0.060321,0.002509,0.002873,0.009212
1.91163,153.25,0.075041,0.014710,0.060331,0.002513,0.002878,0.009234
1.91183,153.27,0.075083,0.014742,0.060341,0.002518,0.002884,0.009256
