ppm,hz,total_with_exchange,total_carbon_bound,exchangeable pool (H2O/OH/COOH),EGDA CH3,EGMA CH3,AcOH CH3
1.91603,153.60,0.077820,0.018815,0.059005,0.000105,0.001080,0.017522
1.91623,153.62,0.077875,0.018860,0.059014,0.000105,0.001082,0.017565
1.91643,153.64,0.077929,0.018905,0.059024,0.000105,0.001084,0.017608
1.91663,153.65,0.077984,0.018951,0.059034,0.000105,0.001086,0.017651
1.91683,153.67,0.078039,0.018996,0.059043,0.000105,0.001088,0.017694
1.91703,153.68,0.078095,0.019042,0.059053,0.000105,0.001091,0.017737
1.91723,153.70,0.078150,0.019088,0.059063,0.000106,0.001093,0.017780
1.91743,153.72,0.078206,0.019134,0.059072,0.000106,0.001095,0.017824
1.91763,153.73,0.078262,0.019180,0.059082,0.000106,0.001097,0.017868
1.91783,153.75,0.078318,0.019226,0.059092,0.000106,0.001099,0.017912
1.91803,153.76,0.078374,0.019272,0.059101,0.000106,0.001101,0.017956
1.91823,153.78,0.078430,0.019319,0.059111,0.000107,0.001103,0.018000
1.91843,153.80,0.078486,0.019366,0.059121,0.000107,0.001105,0.018045
1.91863,153.81,0.078543,0.019413,0.059130,0.000107,0.001107,0.018089
1.91883,153.83,0.078600,0.019460,0.059140,0.000107,0.001110,0.018134
1.91903,153.84,0.078657,0.019507,0.059150,0.000107,0.001112,0.018179
1.91923,153.86,0.078714,0.019555,0.059159,0.000108,0.001114,0.018224
1.91943,153.88,0.078772,0.019602,0.059169,0.000108,0.001116,0.018269
1.91963,153.89,0.078829,0.019650,0.059179,0.000108,0.001118,0.018315
1.91983,153.91,0.078887,0.019698,0.059189,0.000108,0.001120,0.018360
1.92003,153.93,0.078945,0.019746,0.059198,0.000108,0.001123,0.018406
1.92023,153.94,0.079003,0.019795,0.059208,0.000109,0.001125,0.018452
1.92043,153.96,0.079061,0.019843,0.059218,0.000109,0.001127,0.018498
1.92063,153.97,0.079119,0.019892,0.059227,0.000109,0.001129,0.018545
1.92083,153.99,0.079178,0.019941,0.059237,0.000109,0.001131,0.018591
1.92103,154.01,0.079237,0.019990,0.059247,0.000109,0.001134,0.018638
1.92123,154.02,0.079296,0.020039,0.059257,0.000110,0.001136,0.018685
1.92143,154.04,0.079355,0.020089,0.059266,0.000110,0.001138,0.018732
1.92163,154.05,0.079414,0.020138,0.059276,0.000110,0.001140,0.018779
1.92183,154.07,0.079474,0.020188,0.059286,0.000110,0.001143,0.018826
1.92203,154.09,0.079534,0.020238,0.059295,0.000110,0.001145,0.018874
1.92223,154.10,0.079594,0.020288,0.059305,0.000111,0.001147,0.018921
1.92243,154.12,0.079654,0.020339,0.059315,0.000111,0.001149,0.018969
1.92263,154.13,0.079714,0.020389,0.059325,0.000111,0.001152,0.019017
1.92283,154.15,0.079775,0.020440,0.059334,0.000111,0.001154,0.019066
1.92303,154.17,0.079835,0.020491,0.059344,0.000111,0.001156,0.019114
1.92323,154.18,0.079896,0.020542,0.059354,0.000112,0.001158,0.019163
1.92343,154.20,0.079957,0.020594,0.059364,0.000112,0.001161,0.019211
1.92363,154.21,0.080019,0.020645,0.059373,0.000112,0.001163,0.019260
1.92383,154.23,0.080080,0.020697,0.059383,0.000112,0.001165,0.019310
1.92403,154.25,0.080142,0.020749,0.059393,0.000112,0.001168,0.019359
1.92423,154.26,0.080204,0.020801,0.059403,0.000113,0.001170,0.019409
1.92443,154.28,0.080266,0.020853,0.059412,0.000113,0.001172,0.019458
1.92463,154.29,0.080328,0.020906,0.059422,0.000113,0.001175,0.019508
1.92483,154.31,0.080390,0.020958,0.059432,0.000113,0.001177,0.019558
1.92503,154.33,0.080453,0.021011,0.059442,0.000113,0.001179,0.019609
1.92523,154.34,0.080516,0.021065,0.059451,0.000114,0.001182,0.019659
1.92543,154.36,0.080579,0.021118,0.059461,0.000114,0.001184,0.019710
1.92563,154.37,0.080642,0.021171,0.059471,0.000114,0.001186,0.019761
1.92583,154.39,0.080706,0.021225,0.059481,0.000114,0.001189,0.019812
1.92603,154.41,0.080770,0.021279,0.059491,0.000114,0.001191,0.019863
1.92623,154.42,0.080834,0.021333,0.059500,0.000115,0.001194,0.019915
1.92643,154.44,0.080898,0.021388,0.059510,0.000115,0.001196,0.019967
1.92663,154.45,0.080962,0.021442,0.059520,0.000115,0.001198,0.020019
1.92683,154.47,0.081027,0.021497,0.059530,0.000115,0.001201,0.020071
1.92703,154.49,0.081091,0.021552,0.059539,0.000116,0.001203,0.020123
1.92723,154.50,0.081156,0.021607,0.059549,0.000116,0.001206,0.020176
1.92743,154.52,0.081222,0.021662,0.059559,0.000116,0.001208,0.020228
1.92763,154.53,0.081287,0.021718,0.059569,0.000116,0.001211,0.020281
1.92783,154.55,0.081353,0.021774,0.059579,0.000116,0.001213,0.020334
1.92803,154.57,0.081419,0.021830,0.059588,0.000117,0.001215,0.020388
1.92823,154.58,0.081485,0.021886,0.059598,0.000117,0.001218,0.020441
1.92843,154.60,0.081551,0.021943,0.059608,0.000117,0.001220,0.020495
1.92863,154.61,0.081617,0.022000,0.059618,0.000117,0.001223,0.020549
1.92883,154.63,0.081684,0.022056,0.059628,0.000118,0.001225,0.020603
1.92903,154.65,0.081751,0.022114,0.059638,0.000118,0.001228,0.020658
1.92923,154.66,0.081818,0.022171,0.059647,0.000118,0.001230,0.020712
1.92943,154.68,0.081886,0.022229,0.059657,0.000118,0.001233,0.020767
1.92963,154.69,0.081953,0.022286,0.059667,0.000118,0.001235,0.020822
1.92983,154.71,0.082021,0.022345,0.059677,0.000119,0.001238,0.020877
1.93003,154.73,0.082089,0.022403,0.059687,0.000119,0.001240,0.020933
1.93023,154.74,0.082158,0.022461,0.059696,0.000119,0.001243,0.020989
1.93043,154.76,0.082226,0.022520,0.059706,0.000119,0.001246,0.021045
1.93063,154.77,0.082295,0.022579,0.059716,0.000120,0.001248,0.021101
1.93083,154.79,0.082364,0.022638,0.059726,0.000120,0.001251,0.021157
1.93103,154.81,0.082434,0.022698,0.059736,0.000120,0.001253,0.021214
1.93123,154.82,0.082503,0.022757,0.059746,0.000120,0.001256,0.021271
1.93143,154.84,0.082573,0.022817,0.059756,0.000120,0.001258,0.021328
1.93163,154.86,0.082643,0.022878,0.059765,0.000121,0.001261,0.021385
1.93183,154.87,0.082713,0.022938,0.059775,0.000121,0.001264,0.021443
1.93203,154.89,0.082784,0.022999,0.059785,0.000121,0.001266,0.021500
1.93223,154.90,0.082854,0.023059,0.059795,0.000121,0.001269,0.021558
1.93243,154.92,0.082925,0.023121,0.059805,0.000122,0.001272,0.021617
1.93263,154.94,0.082997,0.023182,0.059815,0.000122,0.001274,0.021675
1.93283,154.95,0.083068,0.023244,0.059824,0.000122,0.001277,0.021734
1.93303,154.97,0.083140,0.023305,0.059834,0.000122,0.001279,0.021793
