ppm,hz,total_with_exchange,total_carbon_bound,exchangeable pool (H2O/OH/COOH),EG O-CH2
4.05767,325.30,2.873189,0.002347,2.870843,0.002213
4.05807,325.33,2.878745,0.002342,2.876403,0.002208
4.05847,325.36,2.884315,0.002338,2.881977,0.002204
4.05887,325.39,2.889898,0.002333,2.887565,0.002199
4.05927,325.42,2.895496,0.002329,2.893167,0.002195
4.05967,325.46,2.901108,0.002324,2.898783,0.002191
4.06007,325.49,2.906734,0.002320,2.904414,0.002186
4.06047,325.52,2.912374,0.002316,2.910059,0.002182
4.06087,325.55,2.918029,0.002311,2.915717,0.002177
4.06127,325.58,2.923697,0.002307,2.921390,0.002173
4.06167,325.62,2.929380,0.002302,2.927078,0.002169
4.06207,325.65,2.935078,0.002298,2.932780,0.002164
4.06247,325.68,2.940789,0.002294,2.938496,0.002160
4.06287,325.71,2.946516,0.002289,2.944226,0.002156
4.06327,325.74,2.952256,0.002285,2.949971,0.002152
4.06367,325.78,2.958011,0.002281,2.955730,0.002147
4.06407,325.81,2.963781,0.002276,2.961504,0.002143
4.06447,325.84,2.969565,0.002272,2.967293,0.002139
4.06487,325.87,2.975364,0.002268,2.973096,0.002135
4.06527,325.90,2.981177,0.002264,2.978913,0.002130
4.06567,325.94,2.987005,0.002259,2.984746,0.002126
4.06607,325.97,2.992848,0.002255,2.990593,0.002122
4.06647,326.00,2.998706,0.002251,2.996455,0.002118
4.06687,326.03,3.004578,0.002247,3.002331,0.002114
4.06727,326.06,3.010465,0.002243,3.008223,0.002110
4.06767,326.10,3.016367,0.002238,3.014129,0.002105
4.06807,326.13,3.022284,0.002234,3.020050,0.002101
4.06847,326.16,3.028216,0.002230,3.025986,0.002097
4.06887,326.19,3.034163,0.002226,3.031937,0.002093
4.06927,326.23,3.040125,0.002222,3.037903,0.002089
4.06967,326.26,3.046102,0.002218,3.043884,0.002085
4.07007,326.29,3.052094,0.002213,3.049881,0.002081
4.07047,326.32,3.058101,0.002209,3.055892,0.002077
4.07087,326.35,3.064124,0.002205,3.061919,0.002073
4.07127,326.39,3.070162,0.002201,3.067960,0.002069
4.07167,326.42,3.076215,0.002197,3.074018,0.002065
4.07207,326.45,3.082283,0.002193,3.080090,0.002061
4.07247,326.48,3.088366,0.002189,3.086177,0.002057
4.07287,326.51,3.094465,0.002185,3.092281,0.002053
4.07327,326.55,3.100580,0.002181,3.098399,0.002049
4.07367,326.58,3.106710,0.002177,3.104533,0.002045
4.07407,326.61,3.112855,0.002173,3.110682,0.002041
4.07447,326.64,3.119016,0.002169,3.116847,0.002037
4.07487,326.67,3.125193,0.002165,3.123028,0.002033
4.07527,326.71,3.131385,0.002161,3.129224,0.002029
4.07567,326.74,3.137592,0.002157,3.135435,0.002025
4.07607,326.77,3.143816,0.002153,3.141663,0.002021
4.07647,326.80,3.150055,0.002149,3.147906,0.002017
4.07687,326.83,3.156310,0.002145,3.154165,0.002014
4.07727,326.87,3.162581,0.002141,3.160440,0.002010
4.07767,326.90,3.168868,0.002137,3.166730,0.002006
4.07807,326.93,3.175170,0.002134,3.173037,0.002002
4.07847,326.96,3.181489,0.002130,3.179359,0.001998
4.07887,326.99,3.187823,0.002126,3.185697,0.001994
4.07927,327.03,3.194174,0.002122,3.192052,0.001991
4.07967,327.06,3.200540,0.002118,3.198422,0.001987
4.08007,327.09,3.206923,0.002114,3.204809,0.001983
4.08047,327.12,3.213322,0.002110,3.211211,0.001979
4.08087,327.16,3.219737,0.002107,3.217630,0.001975
4.08127,327.19,3.226168,0.002103,3.224065,0.001972
4.08167,327.22,3.232615,0.002099,3.230516,0.001968
4.08207,327.25,3.239079,0.002095,3.236984,0.001964
4.08247,327.28,3.245559,0.002092,3.243468,0.001961
4.08287,327.32,3.252056,0.002088,3.249968,0.001957
4.08327,327.35,3.258569,0.002084,3.256485,0.001953
4.08367,327.38,3.265098,0.002080,3.263018,0.001949
4.08407,327.41,3.271644,0.002077,3.269568,0.001946
4.08447,327.44,3.278207,0.002073,3.276134,0.001942
4.08487,327.48,3.284786,0.002069,3.282716,0.001938
4.08527,327.51,3.291381,0.002065,3.289316,0.001935
4.08567,327.54,3.297994,0.002062,3.295932,0.001931
4.08607,327.57,3.304623,0.002058,3.302565,0.001928
4.08647,327.60,3.311268,0.002054,3.309214,0.001924
4.08687,327.64,3.317931,0.002051,3.315880,0.001920
4.08727,327.67,3.324610,0.002047,3.322563,0.001917
4.08767,327.70,3.331307,0.002043,3.329263,0.001913
4.08807,327.73,3.338020,0.002040,3.335980,0.001910
4.08847,327.76,3.344750,0.002036,3.342714,0.001906
4.08887,327.80,3.351497,0.002033,3.349465,0.001903
4.08927,327.83,3.358261,0.002029,3.356232,0.001899
4.08967,327.86,3.365043,0.002025,3.363017,0.001895
4.09007,327.89,3.371841,0.002022,3.369819,0.001892
4.09047,327.92,3.378656,0.002018,3.376638,0.001888
4.09087,327.96,3.385489,0.002015,3.383474,0.001885
4.09127,327.99,3.392339,0.002011,3.390328,0.001881
4.09167,328.02,3.399206,0.002008,3.397199,0.001878
4.09207,328.05,3.406091,0.002004,3.404087,0.001874
4.09247,328.08,3.412993,0.002001,3.410992,0.001871
4.09287,328.12,3.419912,0.001997,3.417915,0.001868
4.09327,328.15,3.426849,0.001994,3.424855,0.001864
4.09367,328.18,3.433803,0.001990,3.431813,0.001861
4.09407,328.21,3.440775,0.001987,3.438788,0.001857
4.09447,328.25,3.447764,0.001983,3.445781,0.001854
4.09487,328.28,3.454771,0.001980,3.452792,0.001850
4.09527,328.31,3.461796,0.001976,3.459820,0.001847
4.09567,328.34,3.468838,0.001973,3.466866,0.001844
4.09607,328.37,3.475898,0.001969,3.473929,0.001840
4.09647,328.41,3.482976,0.001966,3.481010,0.001837
4.09687,328.44,3.490072,0.001963,3.488109,0.001833
4.09727,328.47,3.497185,0.001959,3.495226,0.001830
4.09767,328.50,3.504317,0.001956,3.502361,0.001827
4.09807,328.53,3.511466,0.001952,3.509514,0.001823
4.09847,328.57,3.518633,0.001949,3.516684,0.001820
4.09887,328.60,3.525819,0.001946,3.523873,0.001817
4.09927,328.63,3.533022,0.001942,3.531080,0.001814
4.09967,328.66,3.540244,0.001939,3.538305,0.001810
4.10007,328.69,3.547483,0.001936,3.545548,0.001807
4.10047,328.73,3.554741,0.001932,3.552809,0.001804
4.10087,328.76,3.562017,0.001929,3.560088,0.001800
4.10127,328.79,3.569312,0.001926,3.567386,0.001797
4.10167,328.82,3.576624,0.001922,3.574702,0.001794
4.10207,328.85,3.583955,0.001919,3.582036,0.001791
4.10247,328.89,3.591305,0.001916,3.589389,0.001787
4.10287,328.92,3.598672,0.001913,3.596760,0.001784
4.10327,328.95,3.606059,0.001909,3.604149,0.001781
4.10367,328.98,3.613463,0.001906,3.611557,0.001778
4.10407,329.01,3.620887,0.001903,3.618984,0.001775
4.10447,329.05,3.628329,0.001899,3.626429,0.001771
4.10487,329.08,3.635789,0.001896,3.633893,0.001768
4.10527,329.11,3.643268,0.001893,3.641375,0.001765
4.10567,329.14,3.650766,0.001890,3.648877,0.001762
4.10607,329.18,3.658283,0.001887,3.656397,0.001759
4.10647,329.21,3.665819,0.001883,3.663935,0.001756
4.10687,329.24,3.673373,0.001880,3.671493,0.001752
4.10727,329.27,3.680946,0.001877,3.679069,0.001749
4.10767,329.30,3.688538,0.001874,3.686664,0.001746
4.10807,329.34,3.696149,0.001871,3.694279,0.001743
4.10847,329.37,3.703780,0.001868,3.701912,0.001740
4.10887,329.40,3.711429,0.001864,3.709564,0.001737
4.10927,329.43,3.719097,0.001861,3.717236,0.001734
4.10967,329.46,3.726784,0.001858,3.724926,0.001731
4.11007,329.50,3.734491,0.001855,3.732636,0.001728
4.11047,329.53,3.742216,0.001852,3.740365,0.001725
4.11087,329.56,3.749961,0.001849,3.748113,0.001721
4.11127,329.59,3.757726,0.001846,3.755880,0.001718
4.11167,329.62,3.765509,0.001843,3.763667,0.001715
4.11207,329.66,3.773312,0.001839,3.771473,0.001712
4.11247,329.69,3.781134,0.001836,3.779298,0.001709
4.11287,329.72,3.788976,0.001833,3.787143,0.001706
4.11327,329.75,3.796837,0.001830,3.795007,0.001703
4.11367,329.78,3.804718,0.001827,3.802891,0.001700
4.11407,329.82,3.812618,0.001824,3.810794,0.001697
4.11447,329.85,3.820538,0.001821,3.818717,0.001694
4.11487,329.88,3.828478,0.001818,3.826660,0.001691
4.11527,329.91,3.836437,0.001815,3.834622,0.001688
4.11567,329.94,3.844416,0.001812,3.842604,0.001685
4.11607,329.98,3.852414,0.001809,3.850605,0.001682
4.11647,330.01,3.860433,0.001806,3.858627,0.001679
4.11687,330.04,3.868471,0.001803,3.866668,0.001677
4.11727,330.07,3.876529,0.001800,3.874729,0.001674
4.11767,330.11,3.884607,0.001797,3.882810,0.001671
4.11807,330.14,3.892705,0.001794,3.890911,0.001668
4.11847,330.17,3.900823,0.001791,3.899032,0.001665
4.11887,330.20,3.908961,0.001788,3.907173,0.001662
4.11927,330.23,3.917120,0.001785,3.915334,0.001659
4.11967,330.27,3.925298,0.001782,3.923515,0.001656
4.12007,330.30,3.933496,0.001779,3.931717,0.001653
4.12047,330.33,3.941715,0.001777,3.939938,0.001650
4.12087,330.36,3.949953,0.001774,3.948180,0.001648
4.12127,330.39,3.958212,0.001771,3.956441,0.001645
4.12167,330.43,3.966491,0.001768,3.964724,0.001642
4.12207,330.46,3.974791,0.001765,3.973026,0.001639
4.12247,330.49,3.983111,0.001762,3.981349,0.001636
4.12287,330.52,3.991451,0.001759,3.989692,0.001633
4.12327,330.55,3.999812,0.001756,3.998056,0.001631
4.12367,330.59,4.008193,0.001753,4.006440,0.001628
4.12407,330.62,4.016595,0.001751,4.014844,0.001625
4.12447,330.65,4.025017,0.001748,4.023270,0.001622
4.12487,330.68,4.033460,0.001745,4.031715,0.001619
4.12527,330.71,4.041924,0.001742,4.040182,0.001617
4.12567,330.75,4.050408,0.001739,4.048669,0.001614
4.12607,330.78,4.058913,0.001736,4.057176,0.001611
4.12647,330.81,4.067438,0.001734,4.065705,0.001608
4.12687,330.84,4.075985,0.001731,4.074254,0.001606
4.12727,330.87,4.084552,0.001728,4.082824,0.001603
4.12767,330.91,4.093140,0.001725,4.091415,0.001600
4.12807,330.94,4.101749,0.001722,4.100026,0.001597
4.12847,330.97,4.110379,0.001720,4.108659,0.001595
4.12887,331.00,4.119029,0.001717,4.117312,0.001592
4.12927,331.04,4.127701,0.001714,4.125987,0.001589
4.12967,331.07,4.136394,0.001711,4.134682,0.001586
4.13007,331.10,4.145107,0.001709,4.143399,0.001584
4.13047,331.13,4.153842,0.001706,4.152136,0.001581
4.13087,331.16,4.162598,0.001703,4.160895,0.001578
4.13127,331.20,4.171375,0.001700,4.169675,0.001576
4.13167,331.23,4.180173,0.001698,4.178476,0.001573
4.13207,331.26,4.188993,0.001695,4.187298,0.001570
4.13247,331.29,4.197833,0.001692,4.196141,0.001568
4.13287,331.32,4.206695,0.001690,4.205006,0.001565
4.13327,331.36,4.215579,0.001687,4.213892,0.001562
4.13367,331.39,4.224483,0.001684,4.222799,0.001560
4.13407,331.42,4.233409,0.001682,4.231728,0.001557
4.13447,331.45,4.242357,0.001679,4.240678,0.001555
4.13487,331.48,4.251325,0.001676,4.249649,0.001552
4.13527,331.52,4.260316,0.001674,4.258642,0.001549
4.13567,331.55,4.269328,0.001671,4.267657,0.001547
4.13607,331.58,4.278361,0.001668,4.276693,0.001544
4.13647,331.61,4.287416,0.001666,4.285750,0.001542
4.13687,331.64,4.296492,0.001663,4.294829,0.001539
4.13727,331.68,4.305590,0.001660,4.303930,0.001536
4.13767,331.71,4.314710,0.001658,4.313052,0.001534
4.13807,331.74,4.323852,0.001655,4.322196,0.001531
4.13847,331.77,4.333015,0.001653,4.331362,0.001529
4.13887,331.80,4.342200,0.001650,4.340550,0.001526
4.13927,331.84,4.351406,0.001647,4.349759,0.001524
4.13967,331.87,4.360635,0.001645,4.358990,0.001521
4.14007,331.90,4.369885,0.001642,4.368243,0.001518
4.14047,331.93,4.379157,0.001640,4.377518,0.001516
4.14087,331.97,4.388451,0.001637,4.386814,0.001513
4.14127,332.00,4.397767,0.001635,4.396133,0.001511
4.14167,332.03,4.407105,0.001632,4.405473,0.001508
4.14207,332.06,4.416465,0.001629,4.414836,0.001506
4.14247,332.09,4.425847,0.001627,4.424220,0.001503
4.14287,332.13,4.435251,0.001624,4.433626,0.001501
4.14327,332.16,4.444677,0.001622,4.443055,0.001498
4.14367,332.19,4.454125,0.001619,4.452505,0.001496
4.14407,332.22,4.463595,0.001617,4.461978,0.001493
4.14447,332.25,4.473087,0.001614,4.471473,0.001491
4.14487,332.29,4.482601,0.001612,4.480989,0.001489
4.14527,332.32,4.492138,0.001609,4.490529,0.001486
4.14567,332.35,4.501696,0.001607,4.500090,0.001484
4.14607,332.38,4.511277,0.001604,4.509673,0.001481
4.14647,332.41,4.520881,0.001602,4.519279,0.001479
4.14687,332.45,4.530506,0.001599,4.528907,0.001476
4.14727,332.48,4.540154,0.001597,4.538557,0.001474
4.14767,332.51,4.549824,0.001594,4.548229,0.001472
4.14807,332.54,4.559516,0.001592,4.557924,0.001469
4.14847,332.57,4.569231,0.001589,4.567641,0.001467
4.14887,332.61,4.578968,0.001587,4.577381,0.001464
4.14927,332.64,4.588727,0.001585,4.587143,0.001462
4.14967,332.67,4.598509,0.001582,4.596927,0.001460
4.15007,332.70,4.608314,0.001580,4.606734,0.001457
4.15047,332.73,4.618140,0.001577,4.616563,0.001455
4.15087,332.77,4.627990,0.001575,4.626415,0.001452
4.15127,332.80,4.637861,0.001572,4.636289,0.001450
4.15167,332.83,4.647756,0.001570,4.646186,0.001448
4.15207,332.86,4.657673,0.001568,4.656105,0.001445
4.15247,332.90,4.667612,0.001565,4.666047,0.001443
4.15287,332.93,4.677574,0.001563,4.676011,0.001441
4.15327,332.96,4.687558,0.001560,4.685998,0.001438
4.15367,332.99,4.697565,0.001558,4.696007,0.001436
4.15407,333.02,4.707595,0.001556,4.706039,0.001434
4.15447,333.06,4.717648,0.001553,4.716094,0.001431
4.15487,333.09,4.727723,0.001551,4.726172,0.001429
4.15527,333.12,4.737820,0.001549,4.736272,0.001427
4.15567,333.15,4.747941,0.001546,4.746394,0.001424
4.15607,333.18,4.758084,0.001544,4.756540,0.001422
4.15647,333.22,4.768249,0.001542,4.766708,0.001420
4.15687,333.25,4.778438,0.001539,4.776898,0.001418
4.15727,333.28,4.788649,0.001537,4.787112,0.001415
4.15767,333.31,4.798883,0.001535,4.797348,0.001413
4.15807,333.34,4.809139,0.001532,4.807607,0.001411
4.15847,333.38,4.819419,0.001530,4.817889,0.001408
4.15887,333.41,4.829721,0.001528,4.828193,0.001406
4.15927,333.44,4.840046,0.001525,4.838520,0.001404
4.15967,333.47,4.850394,0.001523,4.848870,0.001402
4.16007,333.50,4.860764,0.001521,4.859243,0.001399
4.16047,333.54,4.871157,0.001519,4.869639,0.001397
4.16087,333.57,4.881574,0.001516,4.880057,0.001395
4.16127,333.60,4.892013,0.001514,4.890499,0.001393
4.16167,333.63,4.902474,0.001512,4.900963,0.001391
4.16207,333.66,4.912959,0.001509,4.911449,0.001388
4.16247,333.70,4.923466,0.001507,4.921959,0.001386
4.16287,333.73,4.933997,0.001505,4.932492,0.001384
4.16327,333.76,4.944550,0.001503,4.943047,0.001382
4.16367,333.79,4.955126,0.001501,4.953625,0.001380
4.16407,333.83,4.965725,0.001498,4.964226,0.001377
4.16447,333.86,4.976346,0.001496,4.974850,0.001375
4.16487,333.89,4.986991,0.001494,4.985497,0.001373
4.16527,333.92,4.997658,0.001492,4.996167,0.001371
4.16567,333.95,5.008349,0.001489,5.006859,0.001369
4.16607,333.99,5.019062,0.001487,5.017574,0.001367
4.16647,334.02,5.029798,0.001485,5.028313,0.001364
4.16687,334.05,5.040556,0.001483,5.039074,0.001362
4.16727,334.08,5.051338,0.001481,5.049858,0.001360
4.16767,334.11,5.062143,0.001478,5.060664,0.001358
4.16807,334.15,5.072970,0.001476,5.071494,0.001356
4.16847,334.18,5.083820,0.001474,5.082346,0.001354
4.16887,334.21,5.094693,0.001472,5.093221,0.001352
4.16927,334.24,5.105589,0.001470,5.104120,0.001349
4.16967,334.27,5.116508,0.001468,5.115040,0.001347
4.17007,334.31,5.127449,0.001465,5.125984,0.001345
4.17047,334.34,5.138414,0.001463,5.136951,0.001343
4.17087,334.37,5.149401,0.001461,5.147940,0.001341
4.17127,334.40,5.160411,0.001459,5.158952,0.001339
4.17167,334.43,5.171444,0.001457,5.169987,0.001337
4.17207,334.47,5.182499,0.001455,5.181045,0.001335
4.17247,334.50,5.193577,0.001453,5.192125,0.001333
4.17287,334.53,5.204678,0.001450,5.203228,0.001331
4.17327,334.56,5.215802,0.001448,5.214354,0.001328
4.17367,334.59,5.226949,0.001446,5.225503,0.001326
4.17407,334.63,5.238118,0.001444,5.236674,0.001324
4.17447,334.66,5.249310,0.001442,5.247868,0.001322
4.17487,334.69,5.260524,0.001440,5.259085,0.001320
4.17527,334.72,5.271762,0.001438,5.270324,0.001318
4.17567,334.76,5.283022,0.001436,5.281586,0.001316
4.17607,334.79,5.294304,0.001434,5.292871,0.001314
4.17647,334.82,5.305609,0.001432,5.304178,0.001312
4.17687,334.85,5.316937,0.001429,5.315508,0.001310
4.17727,334.88,5.328287,0.001427,5.326860,0.001308
4.17767,334.92,5.339660,0.001425,5.338235,0.001306
4.17807,334.95,5.351056,0.001423,5.349632,0.001304
4.17847,334.98,5.362474,0.001421,5.361052,0.001302
4.17887,335.01,5.373914,0.001419,5.372495,0.001300
4.17927,335.04,5.385377,0.001417,5.383960,0.001298
4.17967,335.08,5.396862,0.001415,5.395447,0.001296
4.18007,335.11,5.408370,0.001413,5.406957,0.001294
4.18047,335.14,5.419900,0.001411,5.418489,0.001292
4.18087,335.17,5.431452,0.001409,5.430043,0.001290
4.18127,335.20,5.443027,0.001407,5.441620,0.001288
4.18167,335.24,5.454624,0.001405,5.453219,0.001286
4.18207,335.27,5.466243,0.001403,5.464840,0.001284
4.18247,335.30,5.477885,0.001401,5.476484,0.001282
4.18287,335.33,5.489548,0.001399,5.488149,0.001280
4.18327,335.36,5.501234,0.001397,5.499837,0.001278
4.18367,335.40,5.512942,0.001395,5.511547,0.001276
4.18407,335.43,5.524672,0.001393,5.523279,0.001274
4.18447,335.46,5.536424,0.001391,5.535033,0.001272
4.18487,335.49,5.548199,0.001389,5.546810,0.001270
4.18527,335.52,5.559995,0.001387,5.558608,0.001268
4.18567,335.56,5.571813,0.001385,5.570428,0.001267
4.18607,335.59,5.583653,0.001383,5.582270,0.001265
4.18647,335.62,5.595514,0.001381,5.594133,0.001263
4.18687,335.65,5.607398,0.001379,5.606019,0.001261
4.18727,335.69,5.619303,0.001377,5.617926,0.001259
4.18767,335.72,5.631231,0.001375,5.629855,0.001257
4.18807,335.75,5.643179,0.001373,5.641806,0.001255
4.18847,335.78,5.655150,0.001371,5.653778,0.001253
4.18887,335.81,5.667142,0.001369,5.665772,0.001251
4.18927,335.85,5.679155,0.001367,5.677788,0.001249
4.18967,335.88,5.691190,0.001365,5.689825,0.001247
4.19007,335.91,5.703247,0.001364,5.701883,0.001246
4.19047,335.94,5.715325,0.001362,5.713963,0.001244
4.19087,335.97,5.727424,0.001360,5.726064,0.001242
4.19127,336.01,5.739544,0.001358,5.738186,0.001240
4.19167,336.04,5.751686,0.001356,5.750330,0.001238
4.19207,336.07,5.763849,0.001354,5.762495,0.001236
