ppm,hz,total_with_exchange,total_carbon_bound,exchangeable pool (H2O/OH/COOH),EGDA O-CH2,EGMA CH2-OC(O),EGMA CH2-OH,EG O-CH2
4.51688,362.11,5.415058,0.001097,5.413961,0.000106,0.000458,0.000059,0.000386
4.51728,362.14,5.403532,0.001095,5.402438,0.000105,0.000456,0.000059,0.000386
4.51768,362.17,5.392029,0.001092,5.390937,0.000105,0.000455,0.000058,0.000385
4.51808,362.21,5.380548,0.001090,5.379458,0.000104,0.000454,0.000058,0.000385
4.51848,362.24,5.369090,0.001088,5.368002,0.000104,0.000452,0.000058,0.000385
4.51888,362.27,5.357654,0.001085,5.356569,0.000103,0.000451,0.000058,0.000384
4.51928,362.30,5.346240,0.001083,5.345158,0.000103,0.000449,0.000058,0.000384
4.51968,362.33,5.334850,0.001081,5.333769,0.000102,0.000448,0.000058,0.000384
4.52008,362.37,5.323481,0.001078,5.322403,0.000102,0.000446,0.000058,0.000383
4.52048,362.40,5.312135,0.001076,5.311059,0.000102,0.000445,0.000058,0.000383
4.52088,362.43,5.300812,0.001074,5.299738,0.000101,0.000444,0.000058,0.000383
4.52128,362.46,5.289511,0.001072,5.288440,0.000101,0.000442,0.000058,0.000382
4.52168,362.49,5.278233,0.001069,5.277164,0.000100,0.000441,0.000058,0.000382
4.52208,362.53,5.266978,0.001067,5.265911,0.000100,0.000440,0.000058,0.000382
4.52248,362.56,5.255745,0.001065,5.254681,0.000099,0.000438,0.000058,0.000381
4.52288,362.59,5.244535,0.001063,5.243473,0.000099,0.000437,0.000058,0.000381
4.52328,362.62,5.233348,0.001060,5.232288,0.000099,0.000436,0.000058,0.000380
4.52368,362.65,5.222184,0.001058,5.221125,0.000098,0.000434,0.000057,0.000380
4.52408,362.69,5.211042,0.001056,5.209986,0.000098,0.000433,0.000057,0.000380
4.52448,362.72,5.199922,0.001054,5.198869,0.000097,0.000432,0.000057,0.000379
4.52488,362.75,5.188826,0.001052,5.187774,0.000097,0.000430,0.000057,0.000379
4.52528,362.78,5.177752,0.001049,5.176703,0.000096,0.000429,0.000057,0.000379
4.52568,362.81,5.166702,0.001047,5.165654,0.000096,0.000428,0.000057,0.000378
4.52608,362.85,5.155674,0.001045,5.154628,0.000096,0.000426,0.000057,0.000378
4.52648,362.88,5.144668,0.001043,5.143625,0.000095,0.000425,0.000057,0.000378
4.52688,362.91,5.133686,0.001041,5.132645,0.000095,0.000424,0.000057,0.000377
4.52728,362.94,5.122726,0.001039,5.121687,0.000094,0.000422,0.000057,0.000377
4.52768,362.97,5.111789,0.001037,5.110752,0.000094,0.000421,0.000057,0.000377
4.52808,363.01,5.100875,0.001035,5.099841,0.000094,0.000420,0.000057,0.000376
4.52848,363.04,5.089984,0.001033,5.088951,0.000093,0.000419,0.000057,0.000376
4.52888,363.07,5.079116,0.001030,5.078085,0.000093,0.000417,0.000057,0.000376
4.52928,363.10,5.068270,0.001028,5.067242,0.000093,0.000416,0.000057,0.000375
4.52968,363.14,5.057448,0.001026,5.056421,0.000092,0.000415,0.000057,0.000375
4.53008,363.17,5.046648,0.001024,5.045623,0.000092,0.000414,0.000057,0.000375
4.53048,363.20,5.035871,0.001022,5.034849,0.000091,0.000412,0.000056,0.000374
4.53088,363.23,5.025117,0.001020,5.024096,0.000091,0.000411,0.000056,0.000374
4.53128,363.26,5.014385,0.001018,5.013367,0.000091,0.000410,0.000056,0.000374
4.53168,363.30,5.003677,0.001016,5.002661,0.000090,0.000409,0.000056,0.000373
4.53208,363.33,4.992992,0.001014,4.991977,0.000090,0.000408,0.000056,0.000373
4.53248,363.36,4.982329,0.001012,4.981317,0.000090,0.000406,0.000056,0.000372
4.53288,363.39,4.971689,0.001010,4.970679,0.000089,0.000405,0.000056,0.000372
4.53328,363.42,4.961072,0.001008,4.960064,0.000089,0.000404,0.000056,0.000372
4.53368,363.46,4.950478,0.001006,4.949472,0.000088,0.000403,0.000056,0.000371
4.53408,363.49,4.939907,0.001004,4.938903,0.000088,0.000402,0.000056,0.000371
4.53448,363.52,4.929358,0.001002,4.928356,0.000088,0.000400,0.000056,0.000371
4.53488,363.55,4.918833,0.001000,4.917833,0.000087,0.000399,0.000056,0.000370
4.53528,363.58,4.908330,0.000998,4.907332,0.000087,0.000398,0.000056,0.000370
4.53568,363.62,4.897850,0.000996,4.896854,0.000087,0.000397,0.000056,0.000370
4.53608,363.65,4.887393,0.000995,4.886399,0.000086,0.000396,0.000056,0.000369
4.53648,363.68,4.876959,0.000993,4.875967,0.000086,0.000395,0.000056,0.000369
4.53688,363.71,4.866548,0.000991,4.865557,0.000086,0.000393,0.000055,0.000369
4.53728,363.74,4.856159,0.000989,4.855170,0.000085,0.000392,0.000055,0.000368
4.53768,363.78,4.845793,0.000987,4.844807,0.000085,0.000391,0.000055,0.000368
4.53808,363.81,4.835450,0.000985,4.834465,0.000085,0.000390,0.000055,0.000368
4.53848,363.84,4.825130,0.000983,4.824147,0.000084,0.000389,0.000055,0.000367
4.53888,363.87,4.814833,0.000981,4.813852,0.000084,0.000388,0.000055,0.000367
4.53928,363.90,4.804558,0.000979,4.803579,0.000084,0.000387,0.000055,0.000367
4.53968,363.94,4.794306,0.000977,4.793329,0.000083,0.000385,0.000055,0.000366
4.54008,363.97,4.784077,0.000976,4.783102,0.000083,0.000384,0.000055,0.000366
4.54048,364.00,4.773871,0.000974,4.772897,0.000083,0.000383,0.000055,0.000366
4.54088,364.03,4.763687,0.000972,4.762715,0.000082,0.000382,0.000055,0.000365
4.54128,364.06,4.753526,0.000970,4.752556,0.000082,0.000381,0.000055,0.000365
4.54168,364.10,4.743388,0.000968,4.742420,0.000082,0.000380,0.000055,0.000365
4.54208,364.13,4.733272,0.000966,4.732306,0.000081,0.000379,0.000055,0.000364
4.54248,364.16,4.723179,0.000965,4.722215,0.000081,0.000378,0.000055,0.000364
4.54288,364.19,4.713109,0.000963,4.712146,0.000081,0.000377,0.000055,0.000364
4.54328,364.23,4.703061,0.000961,4.702100,0.000081,0.000376,0.000055,0.000363
4.54368,364.26,4.693036,0.000959,4.692077,0.000080,0.000375,0.000055,0.000363
4.54408,364.29,4.683034,0.000957,4.682077,0.000080,0.000374,0.000054,0.000363
4.54448,364.32,4.673054,0.000956,4.672098,0.000080,0.000372,0.000054,0.000362
4.54488,364.35,4.663097,0.000954,4.662143,0.000079,0.000371,0.000054,0.000362
4.54528,364.39,4.653162,0.000952,4.652210,0.000079,0.000370,0.000054,0.000362
4.54568,364.42,4.643250,0.000950,4.642300,0.000079,0.000369,0.000054,0.000361
4.54608,364.45,4.633361,0.000949,4.632412,0.000078,0.000368,0.000054,0.000361
4.54648,364.48,4.623493,0.000947,4.622547,0.000078,0.000367,0.000054,0.000361
4.54688,364.51,4.613649,0.000945,4.612704,0.000078,0.000366,0.000054,0.000360
4.54728,364.55,4.603827,0.000943,4.602883,0.000078,0.000365,0.000054,0.000360
4.54768,364.58,4.594027,0.000942,4.593085,0.000077,0.000364,0.000054,0.000360
4.54808,364.61,4.584250,0.000940,4.583310,0.000077,0.000363,0.000054,0.000360
4.54848,364.64,4.574495,0.000938,4.573557,0.000077,0.000362,0.000054,0.000359
4.54888,364.67,4.564762,0.000937,4.563826,0.000076,0.000361,0.000054,0.000359
4.54928,364.71,4.555052,0.000935,4.554117,0.000076,0.000360,0.000054,0.000359
4.54968,364.74,4.545365,0.000933,4.544431,0.000076,0.000359,0.000054,0.000358
4.55008,364.77,4.535699,0.000932,4.534768,0.000076,0.000358,0.000054,0.000358
4.55048,364.80,4.526056,0.000930,4.525126,0.000075,0.000357,0.000054,0.000358
4.55088,364.83,4.516435,0.000928,4.515507,0.000075,0.000356,0.000053,0.000357
4.55128,364.87,4.506837,0.000927,4.505910,0.000075,0.000355,0.000053,0.000357
4.55168,364.90,4.497260,0.000925,4.496335,0.000074,0.000354,0.000053,0.000357
4.55208,364.93,4.487706,0.000923,4.486783,0.000074,0.000353,0.000053,0.000356
4.55248,364.96,4.478174,0.000922,4.477253,0.000074,0.000352,0.000053,0.000356
4.55288,364.99,4.468664,0.000920,4.467744,0.000074,0.000351,0.000053,0.000356
4.55328,365.03,4.459177,0.000918,4.458258,0.000073,0.000350,0.000053,0.000355
4.55368,365.06,4.449711,0.000917,4.448794,0.000073,0.000349,0.000053,0.000355
4.55408,365.09,4.440268,0.000915,4.439353,0.000073,0.000348,0.000053,0.000355
4.55448,365.12,4.430846,0.000913,4.429933,0.000073,0.000347,0.000053,0.000354
4.55488,365.16,4.421447,0.000912,4.420535,0.000072,0.000346,0.000053,0.000354
4.55528,365.19,4.412070,0.000910,4.411159,0.000072,0.000346,0.000053,0.000354
4.55568,365.22,4.402714,0.000909,4.401806,0.000072,0.000345,0.000053,0.000353
4.55608,365.25,4.393381,0.000907,4.392474,0.000072,0.000344,0.000053,0.000353
4.55648,365.28,4.384069,0.000905,4.383164,0.000071,0.000343,0.000053,0.000353
4.55688,365.32,4.374780,0.000904,4.373876,0.000071,0.000342,0.000053,0.000352
4.55728,365.35,4.365512,0.000902,4.364610,0.000071,0.000341,0.000053,0.000352
4.55768,365.38,4.356266,0.000901,4.355365,0.000070,0.000340,0.000053,0.000352
4.55808,365.41,4.347042,0.000899,4.346143,0.000070,0.000339,0.000052,0.000352
4.55848,365.44,4.337840,0.000898,4.336942,0.000070,0.000338,0.000052,0.000351
4.55888,365.48,4.328659,0.000896,4.327763,0.000070,0.000337,0.000052,0.000351
4.55928,365.51,4.319500,0.000895,4.318606,0.000069,0.000336,0.000052,0.000351
4.55968,365.54,4.310363,0.000893,4.309470,0.000069,0.000335,0.000052,0.000350
4.56008,365.57,4.301248,0.000891,4.300356,0.000069,0.000335,0.000052,0.000350
4.56048,365.60,4.292154,0.000890,4.291264,0.000069,0.000334,0.000052,0.000350
4.56088,365.64,4.283082,0.000888,4.282194,0.000069,0.000333,0.000052,0.000349
4.56128,365.67,4.274031,0.000887,4.273144,0.000068,0.000332,0.000052,0.000349
4.56168,365.70,4.265002,0.000885,4.264117,0.000068,0.000331,0.000052,0.000349
4.56208,365.73,4.255995,0.000884,4.255111,0.000068,0.000330,0.000052,0.000348
4.56248,365.76,4.247009,0.000882,4.246126,0.000068,0.000329,0.000052,0.000348
4.56288,365.80,4.238044,0.000881,4.237163,0.000067,0.000328,0.000052,0.000348
4.56328,365.83,4.229101,0.000879,4.228222,0.000067,0.000327,0.000052,0.000348
4.56368,365.86,4.220179,0.000878,4.219301,0.000067,0.000327,0.000052,0.000347
4.56408,365.89,4.211279,0.000876,4.210402,0.000067,0.000326,0.000052,0.000347
4.56448,365.92,4.202400,0.000875,4.201525,0.000066,0.000325,0.000052,0.000347
4.56488,365.96,4.193542,0.000873,4.192669,0.000066,0.000324,0.000052,0.000346
4.56528,365.99,4.184705,0.000872,4.183833,0.000066,0.000323,0.000052,0.000346
4.56568,366.02,4.175890,0.000870,4.175020,0.000066,0.000322,0.000051,0.000346
4.56608,366.05,4.167096,0.000869,4.166227,0.000065,0.000322,0.000051,0.000345
4.56648,366.09,4.158323,0.000868,4.157456,0.000065,0.000321,0.000051,0.000345
4.56688,366.12,4.149571,0.000866,4.148705,0.000065,0.000320,0.000051,0.000345
4.56728,366.15,4.140841,0.000865,4.139976,0.000065,0.000319,0.000051,0.000344
4.56768,366.18,4.132131,0.000863,4.131268,0.000065,0.000318,0.000051,0.000344
4.56808,366.21,4.123442,0.000862,4.122581,0.000064,0.000317,0.000051,0.000344
4.56848,366.25,4.114775,0.000860,4.113914,0.000064,0.000317,0.000051,0.000344
4.56888,366.28,4.106128,0.000859,4.105269,0.000064,0.000316,0.000051,0.000343
4.56928,366.31,4.097502,0.000858,4.096645,0.000064,0.000315,0.000051,0.000343
4.56968,366.34,4.088897,0.000856,4.088041,0.000063,0.000314,0.000051,0.000343
4.57008,366.37,4.080313,0.000855,4.079459,0.000063,0.000313,0.000051,0.000342
4.57048,366.41,4.071750,0.000853,4.070897,0.000063,0.000312,0.000051,0.000342
4.57088,366.44,4.063208,0.000852,4.062356,0.000063,0.000312,0.000051,0.000342
4.57128,366.47,4.054686,0.000851,4.053836,0.000063,0.000311,0.000051,0.000341
4.57168,366.50,4.046185,0.000849,4.045336,0.000062,0.000310,0.000051,0.000341
4.57208,366.53,4.037705,0.000848,4.036857,0.000062,0.000309,0.000051,0.000341
4.57248,366.57,4.029245,0.000846,4.028399,0.000062,0.000308,0.000051,0.000341
4.57288,366.60,4.020806,0.000845,4.019961,0.000062,0.000308,0.000051,0.000340
4.57328,366.63,4.012388,0.000844,4.011544,0.000062,0.000307,0.000050,0.000340
4.57368,366.66,4.003990,0.000842,4.003148,0.000061,0.000306,0.000050,0.000340
4.57408,366.69,3.995612,0.000841,3.994772,0.000061,0.000305,0.000050,0.000339
4.57448,366.73,3.987255,0.000840,3.986416,0.000061,0.000305,0.000050,0.000339
4.57488,366.76,3.978919,0.000838,3.978081,0.000061,0.000304,0.000050,0.000339
4.57528,366.79,3.970603,0.000837,3.969766,0.000061,0.000303,0.000050,0.000338
4.57568,366.82,3.962307,0.000836,3.961471,0.000060,0.000302,0.000050,0.000338
4.57608,366.85,3.954031,0.000834,3.953197,0.000060,0.000301,0.000050,0.000338
4.57648,366.89,3.945776,0.000833,3.944943,0.000060,0.000301,0.000050,0.000338
4.57688,366.92,3.937541,0.000832,3.936710,0.000060,0.000300,0.000050,0.000337
4.57728,366.95,3.929326,0.000830,3.928496,0.000060,0.000299,0.000050,0.000337
4.57768,366.98,3.921132,0.000829,3.920303,0.000059,0.000298,0.000050,0.000337
4.57808,367.02,3.912957,0.000828,3.912130,0.000059,0.000298,0.000050,0.000336
4.57848,367.05,3.904803,0.000826,3.903976,0.000059,0.000297,0.000050,0.000336
4.57888,367.08,3.896668,0.000825,3.895843,0.000059,0.000296,0.000050,0.000336
4.57928,367.11,3.888554,0.000824,3.887730,0.000059,0.000295,0.000050,0.000336
4.57968,367.14,3.880459,0.000822,3.879637,0.000058,0.000295,0.000050,0.000335
4.58008,367.18,3.872385,0.000821,3.871564,0.000058,0.000294,0.000050,0.000335
4.58048,367.21,3.864330,0.000820,3.863510,0.000058,0.000293,0.000050,0.000335
4.58088,367.24,3.856295,0.000818,3.855477,0.000058,0.000292,0.000050,0.000334
4.58128,367.27,3.848280,0.000817,3.847463,0.000058,0.000292,0.000049,0.000334
4.58168,367.30,3.840285,0.000816,3.839469,0.000057,0.000291,0.000049,0.000334
4.58208,367.34,3.832310,0.000815,3.831495,0.000057,0.000290,0.000049,0.000333
4.58248,367.37,3.824354,0.000813,3.823541,0.000057,0.000290,0.000049,0.000333
4.58288,367.40,3.816418,0.000812,3.815606,0.000057,0.000289,0.000049,0.000333
4.58328,367.43,3.808501,0.000811,3.807691,0.000057,0.000288,0.000049,0.000333
4.58368,367.46,3.800605,0.000810,3.799795,0.000057,0.000287,0.000049,0.000332
4.58408,367.50,3.792727,0.000808,3.791919,0.000056,0.000287,0.000049,0.000332
4.58448,367.53,3.784869,0.000807,3.784062,0.000056,0.000286,0.000049,0.000332
4.58488,367.56,3.777031,0.000806,3.776225,0.000056,0.000285,0.000049,0.000331
4.58528,367.59,3.769212,0.000805,3.768407,0.000056,0.000285,0.000049,0.000331
4.58568,367.62,3.761412,0.000803,3.760609,0.000056,0.000284,0.000049,0.000331
4.58608,367.66,3.753632,0.000802,3.752830,0.000055,0.000283,0.000049,0.000331
4.58648,367.69,3.745871,0.000801,3.745070,0.000055,0.000283,0.000049,0.000330
4.58688,367.72,3.738129,0.000800,3.737330,0.000055,0.000282,0.000049,0.000330
