group,species,multiplicity,intensity_ratio,n_lines,J_Hz,fwhm_Hz,group_delta_ppm,line_index,line_ppm,line_Hz,line_rel_intensity,line_height,protons_per_molecule,concentration,moles,group_area_in_window,group_area_pct_of_window,group_area_pct_of_carbon_bound,window_lo_ppm,window_hi_ppm
exchangeable pool (H2O/OH/COOH),"water, ethylene glycol monoacetate, ethylene glycol, acetic acid",broad singlet (fast exchange),1,1,0.0,30.0,4.3525,0,4.3525,348.93,1.0,10.0,,,,0.031832,15.656,18.563,1.9,2.35
AcOH CH3,acetic acid,singlet,1,1,0.0,1.5,2.08,0,2.08,166.75,1.0,6.0,3,2.0,2.0,0.171484,84.344,100.0,1.9,2.35
