ppm,hz,total_with_exchange,total_carbon_bound,EGDA O-CH2,exchangeable pool (H2O/OH/COOH)
4.06487,325.87,4.450790,0.004934,0.004792,4.445857
4.06527,325.90,4.460262,0.004948,0.004806,4.455314
4.06567,325.94,4.469755,0.004962,0.004820,4.464793
4.06607,325.97,4.479271,0.004976,0.004835,4.474294
4.06647,326.00,4.488808,0.004991,0.004849,4.483818
4.06687,326.03,4.498368,0.005005,0.004864,4.493363
4.06727,326.06,4.507951,0.005019,0.004878,4.502931
4.06767,326.10,4.517555,0.005034,0.004893,4.512521
4.06807,326.13,4.527182,0.005049,0.004907,4.522133
4.06847,326.16,4.536831,0.005063,0.004922,4.531768
4.06887,326.19,4.546503,0.005078,0.004937,4.541425
4.06927,326.23,4.556197,0.005093,0.004952,4.551104
4.06967,326.26,4.565913,0.005108,0.004967,4.560805
4.07007,326.29,4.575652,0.005123,0.004982,4.570529
4.07047,326.32,4.585413,0.005138,0.004997,4.580275
4.07087,326.35,4.595196,0.005153,0.005012,4.590044
4.07127,326.39,4.605003,0.005168,0.005027,4.599835
4.07167,326.42,4.614831,0.005183,0.005042,4.609648
4.07207,326.45,4.624682,0.005198,0.005058,4.619484
4.07247,326.48,4.634556,0.005214,0.005073,4.629342
4.07287,326.51,4.644452,0.005229,0.005088,4.639223
4.07327,326.55,4.654371,0.005245,0.005104,4.649127
4.07367,326.58,4.664313,0.005260,0.005120,4.659053
4.07407,326.61,4.674277,0.005276,0.005135,4.669001
4.07447,326.64,4.684263,0.005291,0.005151,4.678972
4.07487,326.67,4.694273,0.005307,0.005167,4.688966
4.07527,326.71,4.704305,0.005323,0.005183,4.698982
4.07567,326.74,4.714360,0.005339,0.005199,4.709021
4.07607,326.77,4.724437,0.005355,0.005215,4.719082
4.07647,326.80,4.734537,0.005371,0.005231,4.729166
4.07687,326.83,4.744660,0.005387,0.005247,4.739273
4.07727,326.87,4.754806,0.005403,0.005263,4.749402
4.07767,326.90,4.764974,0.005420,0.005280,4.759554
4.07807,326.93,4.775165,0.005436,0.005296,4.769729
4.07847,326.96,4.785379,0.005453,0.005313,4.779927
4.07887,326.99,4.795616,0.005469,0.005329,4.790147
4.07927,327.03,4.805875,0.005486,0.005346,4.800390
4.07967,327.06,4.816158,0.005502,0.005363,4.810655
4.08007,327.09,4.826463,0.005519,0.005380,4.820944
4.08047,327.12,4.836791,0.005536,0.005396,4.831255
4.08087,327.16,4.847142,0.005553,0.005413,4.841589
4.08127,327.19,4.857516,0.005570,0.005431,4.851946
4.08167,327.22,4.867912,0.005587,0.005448,4.862326
4.08207,327.25,4.878332,0.005604,0.005465,4.872728
4.08247,327.28,4.888774,0.005621,0.005482,4.883153
4.08287,327.32,4.899240,0.005639,0.005500,4.893601
4.08327,327.35,4.909728,0.005656,0.005517,4.904072
4.08367,327.38,4.920239,0.005674,0.005535,4.914566
4.08407,327.41,4.930773,0.005691,0.005552,4.925082
4.08447,327.44,4.941330,0.005709,0.005570,4.935621
4.08487,327.48,4.951910,0.005727,0.005588,4.946184
4.08527,327.51,4.962513,0.005744,0.005606,4.956769
4.08567,327.54,4.973139,0.005762,0.005624,4.967376
4.08607,327.57,4.983787,0.005780,0.005642,4.978007
4.08647,327.60,4.994459,0.005798,0.005660,4.988661
4.08687,327.64,5.005154,0.005817,0.005678,4.999337
4.08727,327.67,5.015871,0.005835,0.005696,5.010036
4.08767,327.70,5.026612,0.005853,0.005715,5.020758
4.08807,327.73,5.037375,0.005872,0.005733,5.031503
4.08847,327.76,5.048161,0.005890,0.005752,5.042271
4.08887,327.80,5.058971,0.005909,0.005771,5.053062
4.08927,327.83,5.069803,0.005928,0.005789,5.063875
4.08967,327.86,5.080658,0.005946,0.005808,5.074712
4.09007,327.89,5.091536,0.005965,0.005827,5.085571
4.09047,327.92,5.102437,0.005984,0.005846,5.096453
4.09087,327.96,5.113361,0.006003,0.005865,5.107358
4.09127,327.99,5.124308,0.006023,0.005885,5.118285
4.09167,328.02,5.135278,0.006042,0.005904,5.129236
4.09207,328.05,5.146270,0.006061,0.005923,5.140209
4.09247,328.08,5.157286,0.006081,0.005943,5.151205
4.09287,328.12,5.168324,0.006100,0.005963,5.162224
4.09327,328.15,5.179385,0.006120,0.005982,5.173266
4.09367,328.18,5.190470,0.006140,0.006002,5.184330
4.09407,328.21,5.201577,0.006159,0.006022,5.195417
4.09447,328.25,5.212706,0.006179,0.006042,5.206527
4.09487,328.28,5.223859,0.006200,0.006062,5.217660
4.09527,328.31,5.235035,0.006220,0.006082,5.228815
4.09567,328.34,5.246233,0.006240,0.006103,5.239993
4.09607,328.37,5.257454,0.006260,0.006123,5.251194
4.09647,328.41,5.268698,0.006281,0.006144,5.262417
4.09687,328.44,5.279965,0.006301,0.006164,5.273663
4.09727,328.47,5.291254,0.006322,0.006185,5.284932
4.09767,328.50,5.302566,0.006343,0.006206,5.296223
4.09807,328.53,5.313901,0.006364,0.006227,5.307537
4.09847,328.57,5.325258,0.006385,0.006248,5.318874
4.09887,328.60,5.336639,0.006406,0.006269,5.330233
4.09927,328.63,5.348041,0.006427,0.006290,5.341615
4.09967,328.66,5.359467,0.006448,0.006312,5.353019
4.10007,328.69,5.370915,0.006470,0.006333,5.364445
4.10047,328.73,5.382386,0.006491,0.006355,5.375894
4.10087,328.76,5.393879,0.006513,0.006376,5.387366
4.10127,328.79,5.405394,0.006535,0.006398,5.398860
4.10167,328.82,5.416933,0.006556,0.006420,5.410376
4.10207,328.85,5.428493,0.006578,0.006442,5.421915
4.10247,328.89,5.440077,0.006601,0.006464,5.433476
4.10287,328.92,5.451682,0.006623,0.006486,5.445059
4.10327,328.95,5.463310,0.006645,0.006509,5.456665
4.10367,328.98,5.474960,0.006668,0.006531,5.468293
4.10407,329.01,5.486633,0.006690,0.006554,5.479943
4.10447,329.05,5.498328,0.006713,0.006577,5.491615
4.10487,329.08,5.510045,0.006736,0.006599,5.503310
4.10527,329.11,5.521785,0.006758,0.006622,5.515026
4.10567,329.14,5.533546,0.006781,0.006646,5.526765
4.10607,329.18,5.545330,0.006805,0.006669,5.538526
4.10647,329.21,5.557136,0.006828,0.006692,5.550308
4.10687,329.24,5.568964,0.006851,0.006716,5.562113
4.10727,329.27,5.580814,0.006875,0.006739,5.573939
4.10767,329.30,5.592686,0.006898,0.006763,5.585788
4.10807,329.34,5.604580,0.006922,0.006787,5.597658
4.10847,329.37,5.616496,0.006946,0.006811,5.609550
4.10887,329.40,5.628434,0.006970,0.006835,5.621464
4.10927,329.43,5.640394,0.006994,0.006859,5.633399
4.10967,329.46,5.652375,0.007019,0.006883,5.645356
4.11007,329.50,5.664378,0.007043,0.006908,5.657335
4.11047,329.53,5.676403,0.007067,0.006932,5.669336
4.11087,329.56,5.688449,0.007092,0.006957,5.681357
4.11127,329.59,5.700518,0.007117,0.006982,5.693401
4.11167,329.62,5.712607,0.007142,0.007007,5.705465
4.11207,329.66,5.724718,0.007167,0.007032,5.717551
4.11247,329.69,5.736851,0.007192,0.007057,5.729659
4.11287,329.72,5.749005,0.007217,0.007083,5.741787
4.11327,329.75,5.761180,0.007243,0.007108,5.753937
4.11367,329.78,5.773377,0.007269,0.007134,5.766108
4.11407,329.82,5.785595,0.007294,0.007160,5.778300
4.11447,329.85,5.797834,0.007320,0.007186,5.790513
4.11487,329.88,5.810094,0.007346,0.007212,5.802747
4.11527,329.91,5.822375,0.007372,0.007238,5.815002
4.11567,329.94,5.834677,0.007399,0.007264,5.827278
4.11607,329.98,5.847000,0.007425,0.007291,5.839575
4.11647,330.01,5.859344,0.007452,0.007317,5.851892
4.11687,330.04,5.871708,0.007479,0.007344,5.864230
4.11727,330.07,5.884093,0.007506,0.007371,5.876588
4.11767,330.11,5.896499,0.007533,0.007398,5.888967
4.11807,330.14,5.908926,0.007560,0.007426,5.901366
4.11847,330.17,5.921373,0.007587,0.007453,5.913786
4.11887,330.20,5.933841,0.007615,0.007481,5.926226
4.11927,330.23,5.946328,0.007642,0.007508,5.938686
4.11967,330.27,5.958837,0.007670,0.007536,5.951166
4.12007,330.30,5.971365,0.007698,0.007564,5.963667
4.12047,330.33,5.983913,0.007726,0.007592,5.976187
4.12087,330.36,5.996482,0.007754,0.007621,5.988727
4.12127,330.39,6.009070,0.007783,0.007649,6.001288
4.12167,330.43,6.021679,0.007812,0.007678,6.013867
4.12207,330.46,6.034307,0.007840,0.007707,6.026467
4.12247,330.49,6.046955,0.007869,0.007736,6.039086
4.12287,330.52,6.059623,0.007898,0.007765,6.051724
4.12327,330.55,6.072310,0.007928,0.007794,6.064382
4.12367,330.59,6.085016,0.007957,0.007824,6.077059
4.12407,330.62,6.097742,0.007987,0.007853,6.089756
4.12447,330.65,6.110488,0.008016,0.007883,6.102471
4.12487,330.68,6.123252,0.008046,0.007913,6.115206
4.12527,330.71,6.136036,0.008076,0.007943,6.127959
4.12567,330.75,6.148838,0.008107,0.007973,6.140732
4.12607,330.78,6.161660,0.008137,0.008004,6.153523
4.12647,330.81,6.174500,0.008168,0.008035,6.166333
4.12687,330.84,6.187359,0.008198,0.008065,6.179161
4.12727,330.87,6.200237,0.008229,0.008096,6.192008
4.12767,330.91,6.213133,0.008261,0.008128,6.204873
4.12807,330.94,6.226048,0.008292,0.008159,6.217756
4.12847,330.97,6.238981,0.008323,0.008191,6.230657
4.12887,331.00,6.251932,0.008355,0.008222,6.243577
4.12927,331.04,6.264901,0.008387,0.008254,6.256514
4.12967,331.07,6.277888,0.008419,0.008286,6.269469
4.13007,331.10,6.290893,0.008451,0.008319,6.282442
4.13047,331.13,6.303916,0.008484,0.008351,6.295432
4.13087,331.16,6.316957,0.008516,0.008384,6.308440
4.13127,331.20,6.330015,0.008549,0.008417,6.321465
4.13167,331.23,6.343090,0.008582,0.008450,6.334508
4.13207,331.26,6.356183,0.008616,0.008483,6.347567
4.13247,331.29,6.369293,0.008649,0.008517,6.360644
4.13287,331.32,6.382420,0.008683,0.008550,6.373737
4.13327,331.36,6.395564,0.008716,0.008584,6.386847
4.13367,331.39,6.408724,0.008750,0.008618,6.399974
4.13407,331.42,6.421902,0.008785,0.008653,6.413117
4.13447,331.45,6.435095,0.008819,0.008687,6.426276
4.13487,331.48,6.448306,0.008854,0.008722,6.439452
4.13527,331.52,6.461532,0.008889,0.008757,6.452644
4.13567,331.55,6.474775,0.008924,0.008792,6.465852
4.13607,331.58,6.488034,0.008959,0.008827,6.479075
4.13647,331.61,6.501309,0.008994,0.008863,6.492314
4.13687,331.64,6.514599,0.009030,0.008898,6.505569
4.13727,331.68,6.527905,0.009066,0.008934,6.518839
4.13767,331.71,6.541226,0.009102,0.008970,6.532124
4.13807,331.74,6.554563,0.009138,0.009007,6.545425
4.13847,331.77,6.567915,0.009175,0.009043,6.558740
4.13887,331.80,6.581282,0.009212,0.009080,6.572070
4.13927,331.84,6.594664,0.009249,0.009117,6.585415
4.13967,331.87,6.608061,0.009286,0.009155,6.598775
4.14007,331.90,6.621472,0.009323,0.009192,6.612148
4.14047,331.93,6.634897,0.009361,0.009230,6.625536
4.14087,331.97,6.648337,0.009399,0.009268,6.638938
4.14127,332.00,6.661791,0.009437,0.009306,6.652354
4.14167,332.03,6.675259,0.009476,0.009345,6.665784
4.14207,332.06,6.688741,0.009514,0.009383,6.679227
4.14247,332.09,6.702236,0.009553,0.009422,6.692683
4.14287,332.13,6.715745,0.009592,0.009461,6.706153
4.14327,332.16,6.729267,0.009632,0.009501,6.719636
4.14367,332.19,6.742802,0.009671,0.009541,6.733131
4.14407,332.22,6.756351,0.009711,0.009580,6.746639
4.14447,332.25,6.769912,0.009751,0.009621,6.760160
4.14487,332.29,6.783485,0.009792,0.009661,6.773694
4.14527,332.32,6.797071,0.009832,0.009702,6.787239
4.14567,332.35,6.810670,0.009873,0.009743,6.800796
4.14607,332.38,6.824280,0.009914,0.009784,6.814366
4.14647,332.41,6.837902,0.009956,0.009825,6.827947
4.14687,332.45,6.851536,0.009997,0.009867,6.841539
4.14727,332.48,6.865182,0.010039,0.009909,6.855143
4.14767,332.51,6.878839,0.010082,0.009951,6.868757
4.14807,332.54,6.892507,0.010124,0.009994,6.882383
4.14847,332.57,6.906186,0.010167,0.010037,6.896019
4.14887,332.61,6.919876,0.010210,0.010080,6.909666
4.14927,332.64,6.933576,0.010253,0.010123,6.923323
4.14967,332.67,6.947287,0.010297,0.010167,6.936990
4.15007,332.70,6.961008,0.010341,0.010211,6.950667
4.15047,332.73,6.974739,0.010385,0.010255,6.964354
4.15087,332.77,6.988480,0.010429,0.010299,6.978050
4.15127,332.80,7.002230,0.010474,0.010344,6.991756
4.15167,332.83,7.015990,0.010519,0.010389,7.005471
4.15207,332.86,7.029758,0.010564,0.010435,7.019194
4.15247,332.90,7.043536,0.010610,0.010480,7.032926
4.15287,332.93,7.057323,0.010656,0.010526,7.046667
4.15327,332.96,7.071118,0.010702,0.010572,7.060416
4.15367,332.99,7.084921,0.010748,0.010619,7.074173
4.15407,333.02,7.098733,0.010795,0.010666,7.087938
4.15447,333.06,7.112552,0.010842,0.010713,7.101710
4.15487,333.09,7.126379,0.010890,0.010761,7.115489
4.15527,333.12,7.140214,0.010938,0.010808,7.129276
4.15567,333.15,7.154056,0.010986,0.010857,7.143070
4.15607,333.18,7.167904,0.011034,0.010905,7.156870
4.15647,333.22,7.181760,0.011083,0.010954,7.170677
4.15687,333.25,7.195622,0.011132,0.011003,7.184490
4.15727,333.28,7.209490,0.011181,0.011052,7.198309
4.15767,333.31,7.223364,0.011231,0.011102,7.212133
4.15807,333.34,7.237244,0.011281,0.011152,7.225963
4.15847,333.38,7.251130,0.011332,0.011203,7.239798
4.15887,333.41,7.265021,0.011382,0.011253,7.253639
4.15927,333.44,7.278917,0.011433,0.011305,7.267484
4.15967,333.47,7.292818,0.011485,0.011356,7.281333
4.16007,333.50,7.306724,0.011537,0.011408,7.295187
4.16047,333.54,7.320633,0.011589,0.011460,7.309045
4.16087,333.57,7.334547,0.011641,0.011513,7.322906
4.16127,333.60,7.348465,0.011694,0.011566,7.336771
4.16167,333.63,7.362386,0.011747,0.011619,7.350639
4.16207,333.66,7.376311,0.011801,0.011673,7.364510
4.16247,333.70,7.390239,0.011855,0.011727,7.378384
4.16287,333.73,7.404169,0.011909,0.011781,7.392260
4.16327,333.76,7.418102,0.011964,0.011836,7.406138
4.16367,333.79,7.432038,0.012019,0.011891,7.420019
