group,species,multiplicity,intensity_ratio,n_lines,J_Hz,fwhm_Hz,group_delta_ppm,line_index,line_ppm,line_Hz,line_rel_intensity,line_height,protons_per_molecule,concentration,moles,group_area_in_window,group_area_pct_of_window,group_area_pct_of_carbon_bound,window_lo_ppm,window_hi_ppm
exchangeable pool (H2O/OH/COOH),water,broad singlet (fast exchange),1,1,0.0,30.0,4.274,0,4.274,342.64,1.0,10.0,,,,0.034208,16.617,19.928,1.9,2.35
EGDA CH3,ethylene glycol diacetate,singlet,1,1,0.0,1.5,2.14,0,2.14,171.56,1.0,6.0,6,1.0,1.0,0.171656,83.383,100.0,1.9,2.35
