ppm,hz,total_with_exchange,total_carbon_bound,exchangeable pool (H2O/OH/COOH),AcOH CH3
2.05883,165.05,1.046871,0.980766,0.066105,0.980630
2.05903,165.07,1.062559,0.996443,0.066116,0.996307
2.05923,165.08,1.078601,1.012474,0.066128,1.012337
2.05943,165.10,1.095006,1.028867,0.066139,1.028731
2.05963,165.12,1.111785,1.045634,0.066151,1.045497
2.05983,165.13,1.128946,1.062784,0.066162,1.062648
2.06003,165.15,1.146502,1.080329,0.066173,1.080192
2.06023,165.16,1.164463,1.098279,0.066185,1.098142
2.06043,165.18,1.182841,1.116645,0.066196,1.116508
2.06063,165.20,1.201648,1.135440,0.066208,1.135303
2.06083,165.21,1.220895,1.154675,0.066219,1.154538
2.06103,165.23,1.240594,1.174364,0.066231,1.174227
2.06123,165.25,1.260760,1.194518,0.066242,1.194381
2.06143,165.26,1.281404,1.215151,0.066254,1.215014
2.06163,165.28,1.302542,1.236276,0.066265,1.236139
2.06183,165.29,1.324185,1.257908,0.066277,1.257771
2.06203,165.31,1.346350,1.280062,0.066288,1.279924
2.06223,165.33,1.369050,1.302751,0.066300,1.302613
2.06243,165.34,1.392302,1.325991,0.066311,1.325853
2.06263,165.36,1.416120,1.349797,0.066323,1.349660
2.06283,165.37,1.440521,1.374187,0.066334,1.374050
2.06303,165.39,1.465522,1.399176,0.066346,1.399039
2.06323,165.41,1.491139,1.424782,0.066357,1.424644
2.06343,165.42,1.517390,1.451021,0.066369,1.450884
2.06363,165.44,1.544293,1.477913,0.066380,1.477775
2.06383,165.45,1.571866,1.505474,0.066392,1.505337
2.06403,165.47,1.600129,1.533726,0.066403,1.533588
2.06423,165.49,1.629100,1.562685,0.066415,1.562548
2.06443,165.50,1.658800,1.592373,0.066427,1.592236
2.06463,165.52,1.689248,1.622810,0.066438,1.622673
2.06483,165.53,1.720466,1.654017,0.066450,1.653879
2.06503,165.55,1.752475,1.686014,0.066461,1.685876
2.06523,165.57,1.785296,1.718824,0.066473,1.718686
2.06543,165.58,1.818952,1.752468,0.066484,1.752330
2.06563,165.60,1.853464,1.786969,0.066496,1.786831
2.06583,165.61,1.888857,1.822349,0.066507,1.822212
2.06603,165.63,1.925152,1.858633,0.066519,1.858495
2.06623,165.65,1.962374,1.895844,0.066530,1.895706
2.06643,165.66,2.000547,1.934005,0.066542,1.933867
2.06663,165.68,2.039694,1.973141,0.066554,1.973003
2.06683,165.69,2.079841,2.013276,0.066565,2.013138
2.06703,165.71,2.121011,2.054434,0.066577,2.054296
2.06723,165.73,2.163229,2.096641,0.066588,2.096503
2.06743,165.74,2.206521,2.139921,0.066600,2.139783
2.06763,165.76,2.250910,2.184298,0.066611,2.184160
2.06783,165.77,2.296420,2.229797,0.066623,2.229659
2.06803,165.79,2.343078,2.276443,0.066635,2.276305
2.06823,165.81,2.390905,2.324259,0.066646,2.324121
2.06843,165.82,2.439926,2.373269,0.066658,2.373130
2.06863,165.84,2.490164,2.423495,0.066669,2.423356
2.06883,165.85,2.541640,2.474959,0.066681,2.474821
2.06903,165.87,2.594376,2.527683,0.066693,2.527545
2.06923,165.89,2.648391,2.581687,0.066704,2.581549
2.06943,165.90,2.703705,2.636990,0.066716,2.636851
2.06963,165.92,2.760335,2.693607,0.066727,2.693469
2.06983,165.93,2.818295,2.751556,0.066739,2.751418
2.07003,165.95,2.877600,2.810849,0.066751,2.810711
2.07023,165.97,2.938260,2.871498,0.066762,2.871359
2.07043,165.98,3.000283,2.933509,0.066774,2.933371
2.07063,166.00,3.063676,2.996890,0.066786,2.996752
2.07083,166.01,3.128439,3.061642,0.066797,3.061503
2.07103,166.03,3.194571,3.127762,0.066809,3.127623
2.07123,166.05,3.262066,3.195246,0.066820,3.195107
2.07143,166.06,3.330914,3.264082,0.066832,3.263943
2.07163,166.08,3.401098,3.334255,0.066844,3.334116
2.07183,166.09,3.472599,3.405744,0.066855,3.405605
2.07203,166.11,3.545388,3.478521,0.066867,3.478382
2.07223,166.13,3.619432,3.552553,0.066879,3.552414
2.07243,166.14,3.694690,3.627799,0.066890,3.627661
2.07263,166.16,3.771113,3.704211,0.066902,3.704072
2.07283,166.17,3.848644,3.781731,0.066914,3.781592
2.07303,166.19,3.927218,3.860293,0.066925,3.860154
2.07323,166.21,4.006760,3.939823,0.066937,3.939684
2.07343,166.22,4.087184,4.020235,0.066949,4.020096
2.07363,166.24,4.168395,4.101435,0.066960,4.101295
2.07383,166.26,4.250286,4.183314,0.066972,4.183175
2.07403,166.27,4.332739,4.265755,0.066984,4.265616
2.07423,166.29,4.415624,4.348629,0.066995,4.348490
2.07443,166.30,4.498799,4.431792,0.067007,4.431653
2.07463,166.32,4.582110,4.515091,0.067019,4.514952
2.07483,166.34,4.665388,4.598358,0.067030,4.598218
2.07503,166.35,4.748455,4.681413,0.067042,4.681273
2.07523,166.37,4.831117,4.764063,0.067054,4.763923
2.07543,166.38,4.913169,4.846104,0.067066,4.845964
2.07563,166.40,4.994396,4.927319,0.067077,4.927179
2.07583,166.42,5.074568,5.007479,0.067089,5.007340
2.07603,166.43,5.153448,5.086347,0.067101,5.086208
2.07623,166.45,5.230786,5.163674,0.067112,5.163535
2.07643,166.46,5.306328,5.239204,0.067124,5.239064
2.07663,166.48,5.379808,5.312673,0.067136,5.312533
2.07683,166.50,5.450960,5.383812,0.067148,5.383672
2.07703,166.51,5.519509,5.452350,0.067159,5.452210
2.07723,166.53,5.585184,5.518013,0.067171,5.517874
2.07743,166.54,5.647712,5.580529,0.067183,5.580390
2.07763,166.56,5.706823,5.639629,0.067194,5.639489
2.07783,166.58,5.762254,5.695048,0.067206,5.694908
2.07803,166.59,5.813750,5.746533,0.067218,5.746393
2.07823,166.61,5.861068,5.793838,0.067230,5.793698
2.07843,166.62,5.903976,5.836734,0.067241,5.836594
2.07863,166.64,5.942261,5.875008,0.067253,5.874868
2.07883,166.66,5.975728,5.908463,0.067265,5.908323
2.07903,166.67,6.004205,5.936928,0.067277,5.936788
2.07923,166.69,6.027540,5.960251,0.067288,5.960111
2.07943,166.70,6.045609,5.978309,0.067300,5.978169
2.07963,166.72,6.058316,5.991004,0.067312,5.990864
2.07983,166.74,6.065591,5.998267,0.067324,5.998127
2.08003,166.75,6.067393,6.000058,0.067335,5.999918
2.08023,166.77,6.063715,5.996367,0.067347,5.996227
2.08043,166.78,6.054575,5.987216,0.067359,5.987075
2.08063,166.80,6.040023,5.972652,0.067371,5.972512
2.08083,166.82,6.020139,5.952757,0.067383,5.952616
2.08103,166.83,5.995030,5.927636,0.067394,5.927495
2.08123,166.85,5.964829,5.897423,0.067406,5.897282
2.08143,166.86,5.929694,5.862276,0.067418,5.862136
2.08163,166.88,5.889807,5.822377,0.067430,5.822237
2.08183,166.90,5.845369,5.777927,0.067442,5.777787
2.08203,166.91,5.796600,5.729146,0.067453,5.729006
2.08223,166.93,5.743735,5.676270,0.067465,5.676129
2.08243,166.94,5.687022,5.619545,0.067477,5.619405
2.08263,166.96,5.626720,5.559231,0.067489,5.559091
2.08283,166.98,5.563094,5.495594,0.067501,5.495453
2.08303,166.99,5.496415,5.428903,0.067512,5.428762
2.08323,167.01,5.426957,5.359432,0.067524,5.359291
2.08343,167.02,5.354991,5.287455,0.067536,5.287314
2.08363,167.04,5.280789,5.213241,0.067548,5.213100
2.08383,167.06,5.204619,5.137059,0.067560,5.136918
2.08403,167.07,5.126741,5.059169,0.067572,5.059028
2.08423,167.09,5.047409,4.979826,0.067583,4.979685
2.08443,167.10,4.966868,4.899273,0.067595,4.899132
2.08463,167.12,4.885354,4.817747,0.067607,4.817606
2.08483,167.14,4.803090,4.735471,0.067619,4.735330
2.08503,167.15,4.720288,4.652658,0.067631,4.652517
2.08523,167.17,4.637151,4.569508,0.067643,4.569367
2.08543,167.19,4.553865,4.486211,0.067654,4.486070
2.08563,167.20,4.470607,4.402941,0.067666,4.402800
2.08583,167.22,4.387539,4.319861,0.067678,4.319720
2.08603,167.23,4.304812,4.237122,0.067690,4.236981
2.08623,167.25,4.222563,4.154861,0.067702,4.154720
2.08643,167.27,4.140919,4.073205,0.067714,4.073064
2.08663,167.28,4.059993,3.992267,0.067726,3.992126
2.08683,167.30,3.979888,3.912151,0.067738,3.912009
2.08703,167.31,3.900696,3.832947,0.067749,3.832806
2.08723,167.33,3.822499,3.754738,0.067761,3.754597
2.08743,167.35,3.745369,3.677596,0.067773,3.677454
2.08763,167.36,3.669367,3.601582,0.067785,3.601441
2.08783,167.38,3.594549,3.526752,0.067797,3.526610
2.08803,167.39,3.520959,3.453150,0.067809,3.453009
2.08823,167.41,3.448637,3.380816,0.067821,3.380675
2.08843,167.43,3.377614,3.309781,0.067833,3.309639
2.08863,167.44,3.307914,3.240069,0.067845,3.239927
2.08883,167.46,3.239557,3.171701,0.067856,3.171559
2.08903,167.47,3.172557,3.104689,0.067868,3.104547
2.08923,167.49,3.106923,3.039042,0.067880,3.038901
2.08943,167.51,3.042659,2.974766,0.067892,2.974624
2.08963,167.52,2.979765,2.911861,0.067904,2.911719
2.08983,167.54,2.918238,2.850322,0.067916,2.850180
2.09003,167.55,2.858073,2.790145,0.067928,2.790003
2.09023,167.57,2.799259,2.731319,0.067940,2.731177
2.09043,167.59,2.741786,2.673834,0.067952,2.673692
2.09063,167.60,2.685638,2.617674,0.067964,2.617532
2.09083,167.62,2.630799,2.562824,0.067976,2.562681
2.09103,167.63,2.577253,2.509266,0.067988,2.509123
2.09123,167.65,2.524980,2.456980,0.068000,2.456838
2.09143,167.67,2.473959,2.405948,0.068012,2.405805
2.09163,167.68,2.424170,2.356146,0.068024,2.356004
2.09183,167.70,2.375589,2.307553,0.068035,2.307411
2.09203,167.71,2.328193,2.260146,0.068047,2.260003
2.09223,167.73,2.281959,2.213900,0.068059,2.213758
2.09243,167.75,2.236864,2.168793,0.068071,2.168650
2.09263,167.76,2.192882,2.124799,0.068083,2.124656
2.09283,167.78,2.149989,2.081894,0.068095,2.081751
2.09303,167.79,2.108160,2.040053,0.068107,2.039910
2.09323,167.81,2.067371,1.999252,0.068119,1.999110
2.09343,167.83,2.027598,1.959466,0.068131,1.959324
2.09363,167.84,1.988815,1.920671,0.068143,1.920529
2.09383,167.86,1.950998,1.882843,0.068155,1.882700
2.09403,167.87,1.914123,1.845956,0.068167,1.845813
2.09423,167.89,1.878167,1.809988,0.068179,1.809845
2.09443,167.91,1.843106,1.774915,0.068191,1.774772
2.09463,167.92,1.808917,1.740714,0.068203,1.740571
2.09483,167.94,1.775577,1.707362,0.068215,1.707219
2.09503,167.95,1.743063,1.674836,0.068227,1.674693
2.09523,167.97,1.711355,1.643116,0.068239,1.642973
2.09543,167.99,1.680430,1.612178,0.068251,1.612035
2.09563,168.00,1.650267,1.582003,0.068263,1.581860
2.09583,168.02,1.620845,1.552570,0.068275,1.552427
2.09603,168.03,1.592146,1.523858,0.068287,1.523715
2.09623,168.05,1.564148,1.495848,0.068299,1.495705
2.09643,168.07,1.536832,1.468521,0.068311,1.468378
2.09663,168.08,1.510181,1.441858,0.068323,1.441715
2.09683,168.10,1.484175,1.415840,0.068335,1.415697
2.09703,168.12,1.458798,1.390450,0.068347,1.390307
2.09723,168.13,1.434030,1.365671,0.068359,1.365528
2.09743,168.15,1.409857,1.341485,0.068371,1.341342
2.09763,168.16,1.386260,1.317877,0.068384,1.317733
2.09783,168.18,1.363225,1.294830,0.068396,1.294686
2.09803,168.20,1.340736,1.272328,0.068408,1.272185
2.09823,168.21,1.318777,1.250357,0.068420,1.250214
2.09843,168.23,1.297334,1.228903,0.068432,1.228759
2.09863,168.24,1.276393,1.207949,0.068444,1.207806
2.09883,168.26,1.255940,1.187484,0.068456,1.187340
2.09903,168.28,1.235961,1.167493,0.068468,1.167349
2.09923,168.29,1.216443,1.147963,0.068480,1.147819
2.09943,168.31,1.197374,1.128882,0.068492,1.128738
2.09963,168.32,1.178741,1.110237,0.068504,1.110093
2.09983,168.34,1.160533,1.092016,0.068516,1.091873
2.10004,168.36,1.142737,1.074208,0.068528,1.074065
2.10024,168.37,1.125342,1.056802,0.068540,1.056658
2.10044,168.39,1.108339,1.039786,0.068553,1.039642
2.10064,168.40,1.091715,1.023150,0.068565,1.023006
2.10084,168.42,1.075460,1.006883,0.068577,1.006739
2.10104,168.44,1.059565,0.990977,0.068589,0.990832
2.10124,168.45,1.044020,0.975420,0.068601,0.975275
2.10144,168.47,1.028816,0.960203,0.068613,0.960059
2.10164,168.48,1.013943,0.945318,0.068625,0.945174
2.10184,168.50,0.999393,0.930756,0.068637,0.930611
2.10204,168.52,0.985157,0.916507,0.068649,0.916363
2.10224,168.53,0.971226,0.902564,0.068661,0.902420
2.10244,168.55,0.957593,0.888919,0.068674,0.888775
2.10264,168.56,0.944249,0.875564,0.068686,0.875419
2.10284,168.58,0.931188,0.862490,0.068698,0.862346
2.10304,168.60,0.918402,0.849692,0.068710,0.849547
2.10324,168.61,0.905883,0.837161,0.068722,0.837016
2.10344,168.63,0.893624,0.824890,0.068734,0.824746
2.10364,168.64,0.881620,0.812874,0.068746,0.812729
2.10384,168.66,0.869863,0.801105,0.068759,0.800960
2.10404,168.68,0.858347,0.789577,0.068771,0.789432
2.10424,168.69,0.847066,0.778284,0.068783,0.778139
2.10444,168.71,0.836014,0.767219,0.068795,0.767075
2.10464,168.72,0.825185,0.756378,0.068807,0.756234
2.10484,168.74,0.814574,0.745755,0.068819,0.745610
2.10504,168.76,0.804174,0.735343,0.068831,0.735198
2.10524,168.77,0.793982,0.725138,0.068844,0.724993
2.10544,168.79,0.783990,0.715134,0.068856,0.714990
2.10564,168.80,0.774196,0.705328,0.068868,0.705183
2.10584,168.82,0.764592,0.695712,0.068880,0.695567
2.10604,168.84,0.755176,0.686284,0.068892,0.686139
2.10624,168.85,0.745943,0.677038,0.068905,0.676893
2.10644,168.87,0.736887,0.667970,0.068917,0.667825
2.10664,168.88,0.728005,0.659076,0.068929,0.658931
2.10684,168.90,0.719292,0.650351,0.068941,0.650206
2.10704,168.92,0.710744,0.641791,0.068953,0.641646
2.10724,168.93,0.702358,0.633393,0.068966,0.633247
2.10744,168.95,0.694129,0.625152,0.068978,0.625006
2.10764,168.96,0.686055,0.617065,0.068990,0.616919
2.10784,168.98,0.678130,0.609128,0.069002,0.608982
2.10804,169.00,0.670352,0.601337,0.069014,0.601192
2.10824,169.01,0.662716,0.593690,0.069027,0.593544
2.10844,169.03,0.655221,0.586182,0.069039,0.586037
2.10864,169.05,0.647862,0.578811,0.069051,0.578666
2.10884,169.06,0.640637,0.571574,0.069063,0.571428
2.10904,169.08,0.633542,0.564466,0.069075,0.564321
2.10924,169.09,0.626574,0.557486,0.069088,0.557341
2.10944,169.11,0.619731,0.550631,0.069100,0.550485
2.10964,169.13,0.613009,0.543897,0.069112,0.543751
2.10984,169.14,0.606406,0.537281,0.069124,0.537136
2.11004,169.16,0.599919,0.530782,0.069137,0.530636
2.11024,169.17,0.593545,0.524397,0.069149,0.524251
2.11044,169.19,0.587283,0.518122,0.069161,0.517976
2.11064,169.21,0.581129,0.511956,0.069173,0.511810
2.11084,169.22,0.575082,0.505896,0.069186,0.505750
2.11104,169.24,0.569138,0.499940,0.069198,0.499794
2.11124,169.25,0.563295,0.494085,0.069210,0.493939
2.11144,169.27,0.557552,0.488329,0.069222,0.488183
2.11164,169.29,0.551906,0.482671,0.069235,0.482525
2.11184,169.30,0.546355,0.477108,0.069247,0.476962
2.11204,169.32,0.540897,0.471637,0.069259,0.471491
2.11224,169.33,0.535529,0.466258,0.069272,0.466112
2.11244,169.35,0.530251,0.460967,0.069284,0.460821
2.11264,169.37,0.525060,0.455764,0.069296,0.455618
2.11284,169.38,0.519954,0.450646,0.069308,0.450500
2.11304,169.40,0.514932,0.445611,0.069321,0.445465
2.11324,169.41,0.509992,0.440659,0.069333,0.440512
2.11344,169.43,0.505131,0.435786,0.069345,0.435639
2.11364,169.45,0.500349,0.430991,0.069358,0.430845
2.11384,169.46,0.495644,0.426274,0.069370,0.426127
2.11404,169.48,0.491013,0.421631,0.069382,0.421484
2.11424,169.49,0.486456,0.417062,0.069395,0.416915
2.11444,169.51,0.481972,0.412565,0.069407,0.412418
2.11464,169.53,0.477558,0.408139,0.069419,0.407992
2.11484,169.54,0.473213,0.403781,0.069432,0.403635
2.11504,169.56,0.468936,0.399492,0.069444,0.399345
2.11524,169.57,0.464725,0.395269,0.069456,0.395122
2.11544,169.59,0.460580,0.391111,0.069469,0.390965
2.11564,169.61,0.456498,0.387017,0.069481,0.386870
2.11584,169.62,0.452479,0.382986,0.069493,0.382839
2.11604,169.64,0.448521,0.379016,0.069506,0.378869
2.11624,169.65,0.444623,0.375105,0.069518,0.374958
2.11644,169.67,0.440784,0.371254,0.069530,0.371107
2.11664,169.69,0.437003,0.367461,0.069543,0.367314
2.11684,169.70,0.433279,0.363724,0.069555,0.363577
2.11704,169.72,0.429610,0.360042,0.069567,0.359895
2.11724,169.73,0.425995,0.356416,0.069580,0.356268
2.11744,169.75,0.422434,0.352842,0.069592,0.352695
2.11764,169.77,0.418925,0.349321,0.069604,0.349174
2.11784,169.78,0.415468,0.345851,0.069617,0.345704
2.11804,169.80,0.412061,0.342432,0.069629,0.342285
2.11824,169.81,0.408704,0.339062,0.069642,0.338915
2.11844,169.83,0.405395,0.335741,0.069654,0.335594
2.11864,169.85,0.402134,0.332468,0.069666,0.332320
2.11884,169.86,0.398920,0.329241,0.069679,0.329093
2.11904,169.88,0.395751,0.326060,0.069691,0.325913
2.11924,169.89,0.392628,0.322924,0.069703,0.322777
