ppm,hz,total_with_exchange,total_carbon_bound,EGDA O-CH2,exchangeable pool (H2O/OH/COOH),EGMA CH2-OC(O),EGMA CH2-OH,EG O-CH2
3.79726,304.42,1.297054,0.134972,0.000303,1.162081,0.000448,0.129414,0.004624
3.79766,304.45,1.294841,0.131166,0.000303,1.163675,0.000449,0.125633,0.004597
3.79806,304.48,1.292825,0.127553,0.000303,1.165272,0.000450,0.122046,0.004571
3.79846,304.52,1.290996,0.124123,0.000304,1.166873,0.000450,0.118641,0.004544
3.79886,304.55,1.289344,0.120868,0.000304,1.168476,0.000451,0.115411,0.004518
3.79926,304.58,1.287861,0.117778,0.000305,1.170082,0.000452,0.112346,0.004493
3.79966,304.61,1.286538,0.114846,0.000305,1.171692,0.000453,0.109437,0.004467
3.80006,304.64,1.285367,0.112062,0.000306,1.173305,0.000454,0.106678,0.004442
3.80046,304.68,1.284341,0.109420,0.000306,1.174921,0.000455,0.104060,0.004416
3.80086,304.71,1.283454,0.106913,0.000307,1.176540,0.000455,0.101577,0.004392
3.80126,304.74,1.282698,0.104535,0.000307,1.178163,0.000456,0.099222,0.004367
3.80166,304.77,1.282068,0.102280,0.000308,1.179788,0.000457,0.096990,0.004342
3.80206,304.80,1.281558,0.100141,0.000308,1.181417,0.000458,0.094875,0.004318
3.80246,304.84,1.281164,0.098115,0.000309,1.183049,0.000459,0.092871,0.004294
3.80286,304.87,1.280879,0.096195,0.000309,1.184684,0.000460,0.090973,0.004270
3.80326,304.90,1.280700,0.094377,0.000309,1.186323,0.000461,0.089178,0.004246
3.80366,304.93,1.280622,0.092657,0.000310,1.187965,0.000461,0.087480,0.004223
3.80406,304.96,1.280641,0.091031,0.000310,1.189610,0.000462,0.085877,0.004199
3.80446,305.00,1.280753,0.089495,0.000311,1.191258,0.000463,0.084363,0.004176
3.80486,305.03,1.280956,0.088046,0.000311,1.192910,0.000464,0.082936,0.004153
3.80526,305.06,1.281246,0.086681,0.000312,1.194565,0.000465,0.081592,0.004131
3.80566,305.09,1.281620,0.085397,0.000312,1.196223,0.000466,0.080329,0.004108
3.80606,305.12,1.282075,0.084190,0.000313,1.197884,0.000467,0.079144,0.004086
3.80646,305.16,1.282608,0.083059,0.000313,1.199549,0.000467,0.078033,0.004063
3.80686,305.19,1.283219,0.082002,0.000314,1.201217,0.000468,0.076996,0.004041
3.80726,305.22,1.283903,0.081015,0.000314,1.202889,0.000469,0.076030,0.004020
3.80766,305.25,1.284661,0.080097,0.000315,1.204563,0.000470,0.075133,0.003998
3.80806,305.28,1.285489,0.079247,0.000315,1.206241,0.000471,0.074303,0.003976
3.80846,305.32,1.286386,0.078463,0.000316,1.207923,0.000472,0.073539,0.003955
3.80886,305.35,1.287351,0.077744,0.000316,1.209608,0.000473,0.072840,0.003934
3.80926,305.38,1.288383,0.077087,0.000317,1.211296,0.000474,0.072203,0.003913
3.80966,305.41,1.289481,0.076494,0.000317,1.212987,0.000475,0.071629,0.003892
3.81006,305.45,1.290643,0.075961,0.000318,1.214682,0.000475,0.071115,0.003872
