group,species,multiplicity,intensity_ratio,n_lines,J_Hz,fwhm_Hz,group_delta_ppm,line_index,line_ppm,line_Hz,line_rel_intensity,line_height,protons_per_molecule,concentration,moles,group_area_in_window,group_area_pct_of_window,group_area_pct_of_carbon_bound,window_lo_ppm,window_hi_ppm
exchangeable pool (H2O/OH/COOH),"water, ethylene glycol monoacetate, ethylene glycol, acetic acid",broad singlet (fast exchange),1,1,0.0,30.0,4.3525,0,4.3525,348.93,1.0,10.0,,,,4.590717,97.538,3961.614,3.4,4.7
EG O-CH2,ethylene glycol,singlet,1,1,0.0,1.5,3.66,0,3.66,293.41,1.0,4.0,4,1.0,1.0,0.11588,2.462,100.0,3.4,4.7
